# PSEUDOCALANUS, OIKOPLEURA, ACARTIA LONGIREMIS, PARACALANUS PARVUS
-1.3081734594,2.7946535945,-1.1032185591,-0.0017094529
-0.3720693779,-0.1300744456,-1.1032185591,-0.5535550461
0.6508151022,-0.0624120917,0.0393272827,-0.9923500641
-0.0993479256,-1.1133777123,0.1195817273,-0.4029845962
0.8618950208,-0.0147912814,2.2965042412,0.0452654218
0.2825508527,0.1796027550,0.2755257224,-0.0435121455
-0.5314219066,-0.3966776456,-0.4840808623,0.0956825776
0.0909398868,0.2724918533,-0.9358953522,-0.2280949025
       nan,       nan,       nan,       nan
0.1536723291,0.1471989448,-1.1032185591,-0.2018181564
0.2917688883,0.4769469953,-1.1032185591,-0.6466605451
-0.3292589395,0.9994692391,-1.1032185591,-0.2553443176
1.2110944935,0.3893917618,-0.8161409805,-0.8161405842
-0.5521001334,0.0068348480,-1.1032185591,0.2258026063
0.2889710980,0.4242074518,-0.2606072720,1.5040377931
-0.4110964592,1.0249312117,0.0042957829,0.4610325654
-1.0324664951,0.9764615408,-0.6511925290,1.6197892837
-1.5403812389,-0.2353821167,-0.9216547564,1.3852372024
-0.7398739611,0.7702121322,-0.6269342425,0.6386262328
-1.6414410389,-0.8284371460,-1.1032185591,-0.2292013546
-1.4817012429,-1.5347666352,-1.1032185591,1.9112828996
       nan,       nan,       nan,       nan
-1.0515800244,1.0608650682,-1.1032185591,0.1214630160
-1.3639150504,-0.6356186674,-1.1032185591,1.1653622160
-1.4140213703,-0.3060488815,-0.8143077036,0.2468644174
-1.0068679729,-0.8877127332,-0.7400378480,-0.0354821610
-1.1527570373,-0.3607396612,1.0513143890,1.6801406520
-1.0473685824,-0.5854604110,0.0232189817,1.2198859970
0.5292080488,-0.0450086947,0.5079524752,1.4119497264
-0.8001126054,0.4052618285,0.2838552940,-0.0460653217
-0.7375964513,-0.1631820971,-0.4624113960,-0.0718400909
-1.3196120708,-0.8042667982,-0.9226201020,-0.1125095352
       nan,       nan,       nan,       nan
-0.8939011087,-1.5347666352,-1.1032185591,0.1430477456
-0.6341306154,-0.8118802167,-1.1032185591,-0.7968700233
0.7972102300,-0.4571511873,-0.8773547492,0.0387102589
0.6466775814,-1.3222357526,-0.1348327142,-0.2365207499
0.8369440436,-1.5347666352,0.2717934429,-1.2785158411
1.9168460463,-1.1208550018,0.3795882343,-0.9733635498
0.6018628876,-0.4257105607,1.6088952770,-1.2785158411
0.2572798714,1.3346863820,0.0473137798,-0.9219514854
0.3294667198,0.0074439183,0.4266373239,0.1746540694
-1.0179544886,-1.0830864217,-0.6204926810,-1.2785158411
-0.3487036738,-0.0540079700,-0.9018297578,-0.5346800211
-0.7471902839,-0.4476235496,-0.7926966802,-0.5438976736
-0.1731566905,-0.3480577626,-0.9573050117,-0.3019380781
