# evidence, significance_level, bayes factor error
147.8006,1.0000,4.8310
167.0109,1.0000,8.4556
194.0508,1.0000,2.5316
169.9030,1.0000,4.6241
163.3384,1.0000,1.9265
183.3894,1.0000,1.9400
191.4363,1.0000,28.2402
139.8017,1.0000,11.4169
166.6672,1.0000,6.8810
175.9425,1.0000,5.5008
152.6140,1.0000,9.5794
177.2396,1.0000,0.7337
129.6294,1.0000,2.3333
162.6606,1.0000,1.4092
174.9315,1.0000,14.1317
171.7705,1.0000,1.0726
178.6245,1.0000,1.7631
166.5882,1.0000,2.2335
111.8622,1.0000,6.9440
139.4156,1.0000,2.9139
152.8783,1.0000,2.8063
197.4005,1.0000,0.9909
160.6462,1.0000,11.9141
158.9889,1.0000,3.2051
124.1111,1.0000,3.2041
169.7051,1.0000,11.3915
149.0333,1.0000,3.6492
176.8208,1.0000,7.5006
194.7489,1.0000,17.3996
169.4629,1.0000,14.7884
175.9697,1.0000,3.6209
182.6372,1.0000,1.6284
165.3729,1.0000,3.5713
178.7575,1.0000,5.7430
143.9059,1.0000,3.0707
142.0955,1.0000,0.6724
115.2808,1.0000,3.9900
185.5081,1.0000,2.6312
152.9655,1.0000,12.7267
173.6901,1.0000,13.0691
169.8034,1.0000,0.5482
156.1689,1.0000,3.8752
137.8942,1.0000,9.1506
163.9800,1.0000,6.5413
150.5733,1.0000,2.7138
167.3227,1.0000,1.0409
145.8120,1.0000,0.6816
203.4103,1.0000,12.9220
152.7702,1.0000,3.0706
160.9895,1.0000,28.6152
