evidence,significance_level,evidence_DLM,significance_level_DLM,posterior_weighted_theta,posterior_weighted_delta,prediction_skill_ns,prediction_skill_DLM
-15.79226900009471,0.025673070085035377,-15.797109326770276,-36.993642565489026,3.4550691361453155e-26,0.00338013198351921,0.9879899093588651,0.987499748828554
-15.7928099441258,0.025669954605690493,-15.793036213182335,-36.95802620788808,2.0005396841815554e-28,0.003056364678246365,0.9889221837613932,0.987942902301991
-15.797547559303043,0.025642684805140394,-15.797527169388335,-36.99729817878,2.060832408330554e-34,0.00017538301321467952,0.9889213649757032,0.9889213649757032
-15.791593776315757,0.02567695944337194,-15.7942057829225,-36.96824980939314,6.477213735983544e-30,0.0037971291464461883,0.9869339024718952,0.9869339024718952
-14.701061885118772,0.03276614149153547,-12.793041451370836,-18.024101094750367,1.084216745826446e-25,0.6628201055628474,0.9861945182305991,0.9857479530839344
-15.788481402097773,0.025694894456514728,-15.780382575661726,-36.847592368536304,1.14722398385603e-22,0.005680035063975472,0.988367619483476,0.9873329639137469
-15.797652132194369,0.025642083199930818,-15.79768100531507,-36.99864414409861,1.6944562857180535e-28,0.00011176767954288765,0.9864184624626509,0.9864184624626509
-15.796353095064326,0.0256495575029098,-15.796225209774997,-36.98590877940552,1.0715897619719254e-22,0.0008999350487647188,0.9871457019726643,0.9871457019726643
-15.797742595981676,0.02564156277512791,-15.797563751138384,-36.99761824122073,9.128366592341288e-24,5.666086509501756e-05,0.9863899758104371,0.9856870931940176
-15.779438879155947,0.025747071091978373,-15.773388552962386,-36.786690400142994,6.178512816887134e-28,0.011204746159155213,0.9872787331353028,0.9868539241996652
-15.797185744168772,0.025644766424531406,-15.797660716862524,-36.99846663047135,4.725124620812761e-24,0.00039442338661117794,0.9874332947803247,0.986946786879181
-15.756681863412789,0.025878839153244352,-15.753729885788621,-36.61603263601135,7.373682472757005e-30,0.025182911905762318,0.9853407182782523,0.9853407182782523
-15.402347281125927,0.028017144905795394,-14.624424494767922,-28.002968404584852,1.180761437378381e-26,0.24106489958430652,0.9876568650378791,0.9858356364970557
-15.787492011635598,0.025700598359793055,-15.784264607820077,-36.881438356140286,4.971005551314631e-18,0.006279747277738764,0.98712044032465,0.9861845539437853
-15.766943181876705,0.025819342822385096,-15.766514216510714,-36.72692612498841,5.962199285129507e-21,0.0187958497349967,0.9862992076369633,0.9862992076369633
-15.755163069938163,0.025887656627309307,-15.785740314205283,-36.894312426944545,1.0415058236644057e-29,0.025939130791611757,0.9857405452459145,0.9850528133836484
-15.785612583616293,0.025711436785372688,-15.793260780993972,-36.959989016909326,1.057744498696301e-22,0.007426202206495054,0.9853156506715827,0.98430985763049
-15.797512845866562,0.025642884513704275,-15.794651801222251,-36.972149330235375,4.5604191199328925e-31,0.00019625623525594516,0.9878442725879614,0.9862543876732117
-15.79736822592599,0.025643716537534285,-15.796640816400538,-36.989544089417784,2.267610303310565e-22,0.000283925821356266,0.984205544592019,0.9833378639514067
-15.795381940077807,0.02565514664775249,-15.794987146871645,-36.97508150811164,1.8853394425238645e-27,0.0014921657418072974,0.9881672924428404,0.9881672924428404
-15.785291763997076,0.025713287356468762,-15.796638178091245,-36.98952101103642,8.28152383110276e-31,0.007614412114169395,0.9854269163175545,0.9850442434717515
-15.79751337567144,0.02564288146569241,-15.797159709800997,-36.99408333691118,4.972124375007101e-25,0.00019577742299064127,0.9872037973161896,0.9867599096111312
-15.796283179733056,0.02564995983668175,-15.79336494158274,-36.9608994549614,2.573323814786813e-22,0.0009437448724778152,0.9873070468499439,0.9867748581309027
-15.797807208547216,0.025641191074880467,-15.797794497125814,-36.99963715493769,1.4539300792889382e-29,1.7435282625850184e-05,0.9893921741041155,0.9886691697294743
-15.797541409362978,0.025642720186018545,-15.79755359727435,-36.997529402376514,6.975888788256253e-21,0.0001787870279914962,0.9867804973485821,0.9860773894804771
-15.78540225164102,0.025712650020331223,-15.784449070821738,-36.883047373182535,2.0508036408364248e-23,0.007560864527506109,0.9838240689574023,0.9838240689574023
-15.781831118375125,0.025733257507174673,-15.78272505976414,-36.86801199192661,2.608294646335541e-23,0.009757335939067456,0.9855560686942413,0.9855560686942413
-15.797403177048214,0.02564351545520223,-15.797302075572793,-36.995328838726486,1.32345383999912e-22,0.00026268565722690687,0.9871747726478617,0.9871747726478617
-15.797606826222278,0.02564234384235973,-15.797418807891477,-36.99635011406546,1.8732002507551805e-29,0.00013896633548989877,0.9886685734614394,0.9883266180820894
-15.797417003316685,0.025643435909730738,-15.7971415654374,-36.99392460198564,6.6976134247339e-26,0.0002540461758673563,0.9850100624152981,0.9835307259542506
-15.795841465113977,0.025652501863402524,-15.797442631354972,-36.99655854571274,7.123529500519624e-27,0.0012098318053240622,0.987888498988901,0.9875267215446605
-15.797656529983065,0.025642057899864353,-15.797671890120855,-36.998564390688834,1.9127488537216758e-28,0.00010877610902590596,0.986363548765712,0.986363548765712
-15.774137344844963,0.025777709645863043,-15.77454961463979,-36.79679380809462,8.560969404270685e-32,0.014507509259513518,0.9863362609622035,0.9863362609622035
-15.795905816276829,0.02565213151315642,-15.79371409506993,-36.96395146546967,6.024637595034324e-27,0.001170020146155397,0.9878432333759302,0.986484605559487
-15.796729923673663,0.025647389116156785,-15.796949878586041,-36.99224768105799,2.157692874839451e-22,0.0006729922573191883,0.9874785830403974,0.986725953618979
-15.796008463905917,0.025651540771985473,-15.795987775897816,-36.98383210207331,1.1388944642807188e-28,0.0011250070248375015,0.9865413292067273,0.9865413292067273
-15.797633948172574,0.025642187811163047,-15.797542332269652,-36.99743084211155,9.578629768222152e-27,0.00012291680056066427,0.9890149209032346,0.9890149209032346
-15.63973757221448,0.026566392147131728,-15.704141171168972,-36.188967172315444,3.1111369155303197e-31,0.09655081696218368,0.9855176037243889,0.9851673202338325
-15.791291982029371,0.02567869799497124,-15.79149304929137,-36.94454110679195,6.34172092642112e-26,0.00398310602642257,0.9854965977635824,0.9854965977635824
-15.797742322078577,0.02564156435083645,-15.795892275730631,-36.982996857191324,5.159594228547003e-30,5.693620469032262e-05,0.9857684459878868,0.984797362995472
-15.797788195585923,0.02564130045124031,-15.797685558126037,-36.998683978989845,7.511799170319121e-33,2.9099341180399878e-05,0.985972629084408,0.9843370207436428
-15.79775689716951,0.02564148050344865,-15.797650457120483,-36.9983768632693,2.293902527955227e-20,4.797576438739153e-05,0.989088954192018,0.9887175667235417
-15.797604189736209,0.02564235900997891,-15.79593486249587,-36.98336931895828,2.4054086313495386e-28,0.00014053707201915438,0.9875025792522125,0.9866815122006114
-15.795470017663462,0.02565463969894103,-15.7973217120229,-36.99550063346413,3.8807859739722505e-19,0.0014363720043025796,0.987627468450742,0.987627468450742
-15.741348012878117,0.025967995415058533,-15.791757033546663,-36.94684762144563,5.629127416169139e-29,0.0342741500357732,0.98602904493873,0.9842567898905324
-15.790776974578622,0.025681665072034874,-15.794364548160193,-36.96963784185545,1.3063335024932273e-26,0.0042851011455424335,0.9876515498234747,0.9874728607055705
-15.795334982381675,0.02565541692649782,-15.795077961505974,-36.975875607355896,2.2474978681480824e-28,0.001530060714958855,0.9876612178591282,0.9873321815387406
-15.796896074005849,0.025646433093168497,-15.797250506388371,-36.99487767561745,2.9737189597217266e-22,0.0005705168845784296,0.9867228893231786,0.9860517961042354
-15.796218369939727,0.025650332795685675,-15.797003859084533,-36.99271990746186,2.3877494570953915e-25,0.0009847989516753887,0.9856037840504226,0.9845707409720496
-15.797608337884636,0.025642335145818956,-15.797540896332249,-36.99741827876447,1.9365080170762056e-29,0.0001379893997661937,0.9843486282648767,0.9834077055260361
-15.790297223690288,0.025684429328187926,-15.788602145929936,-36.91929153422843,3.7874002989039314e-23,0.004583838909282933,0.9882677477761885,0.9879355242298116
-15.766325465376866,0.025822920645520445,-15.79038890035921,-36.93489532475365,3.548264497727735e-26,0.019159595889288276,0.9872031765247976,0.9867410608036983
-15.797305447645108,0.025644077720153636,-15.797346932343618,-36.99572128132731,2.9839538857565962e-27,0.00032220542528008897,0.984510515330061,0.984510515330061
-15.794432012166455,0.025660614774770704,-15.794542587369927,-36.9711944406988,2.406233794203357e-24,0.0020697230694539993,0.9871106309296239,0.9865254994638909
-15.797783636199838,0.02564132668020745,-15.797761254290378,-36.99934628989045,1.9753223375281624e-24,3.1728544639010004e-05,0.9869231822316801,0.9869231822316801
