# evidence, significance_level, bayes factor error, linear evidence, linear significance_level, linear bayes factor error, posterior weighted theta, posterior weighted delta
-14.0369,-24.3332,nan,-14.0369,-24.3332,nan,0.0000,0.0000
-14.0369,-24.3333,nan,-14.0369,-24.3333,nan,0.0000,0.0000
-14.036762930556595,-24.332397440030185,nan,-14.036762930556591,-24.33239744003017,nan,5.890018785148017e-25,3.925345474113813e-05
-14.03675292842218,-24.332339097646614,nan,-14.036752928422182,-24.332339097646628,nan,7.964833105963376e-36,8.114882527694303e-05
-14.036871067888493,-24.333028212947823,nan,-14.036871067888491,-24.333028212947813,nan,1.235880137460608e-33,2.1322750143865726e-05
-14.036887137980765,-24.333121952304662,nan,-14.036887137980765,-24.333121952304662,nan,6.255185739990264e-29,5.799813369119271e-06
-14.036910449659992,-24.333257933585188,nan,-14.036910449659992,-24.333257933585188,nan,8.190419904360936e-32,0.00014746010419522008
-14.036898429610112,-24.333187818348804,nan,-14.036898429610112,-24.333187818348804,nan,2.5160656190788e-29,1.270498289110693e-06
-14.036683493530557,-24.331934088089238,nan,-14.036683493530557,-24.331934088089238,nan,2.0759243848499474e-30,0.00010342671519377564
-14.036798118768903,-24.332602693706615,nan,-14.036798118768905,-24.33260269370663,nan,2.939626855414003e-39,3.923567355109674e-05
-14.036395154917274,-24.330252295530148,nan,-14.036395154917274,-24.330252295530148,nan,1.3192382169066615e-30,0.0016186736491934388
-14.036710190236843,-24.332089807609236,nan,-14.036710190236843,-24.332089807609236,nan,9.981385709313441e-31,4.0380775605267995e-05
-14.036574192976904,-24.33129655763583,nan,-14.036574192976904,-24.33129655763583,nan,9.363596846515783e-29,0.0026295387054815988
-14.036806370849813,-24.332650828530888,nan,-14.036806370849813,-24.332650828530888,nan,3.599866225858285e-32,0.00023432092432990813
-14.036877365713082,-24.333064949100436,nan,-14.036877365713083,-24.33306494910045,nan,2.217447979443976e-32,2.0234495812858902e-05
-14.036030749373376,-24.328126987126073,nan,-14.036030749373376,-24.328126987126073,nan,8.827050412140864e-30,0.01722872858887025
-14.0369089502369,-24.333249187154603,nan,-14.036908950236901,-24.333249187154617,nan,7.813549183753967e-35,1.6418748805218973e-05
-14.036828596770894,-24.332780473958657,nan,-14.036828596770896,-24.33278047395867,nan,1.0999371325142436e-28,0.00017069472795859563
-14.036912589489795,-24.333270415639632,nan,-14.036912589489795,-24.333270415639632,nan,1.4123897496780876e-26,2.2201343507461336e-06
-14.03619006857355,-24.32905615641522,nan,-14.036190068573553,-24.329056156415234,nan,1.2507069263521605e-32,7.44031171475109e-05
-14.03597360519035,-24.32779372348527,nan,-14.03597360519035,-24.32779372348527,nan,4.5204054049829304e-29,0.006200776143369713
-14.014439876527295,-24.20252113707712,nan,-14.01443987652729,-24.202521137077095,nan,7.365329170849386e-26,0.314176547068298
-14.036452300486646,-24.33058559960687,nan,-14.036452300486648,-24.330585599606884,nan,1.9885715163832247e-34,6.354890375531369e-05
-13.982235606265661,-24.01632789227051,nan,-13.982235606265657,-24.016327892270496,nan,1.002933051334772e-30,0.006404961139901114
-14.036344471370674,-24.32995668515866,nan,-14.036344471370676,-24.329956685158674,nan,5.455809795795696e-39,0.008493250242350559
-14.036867693815632,-24.333008531498177,nan,-14.03686769381563,-24.333008531498162,nan,3.831738360345206e-32,3.830131311832147e-05
-14.036804648851069,-24.332640784013616,nan,-14.036804648851069,-24.332640784013616,nan,1.41361444940442e-25,2.9379571525168518e-05
-14.036913702783366,-24.333276909705734,nan,-14.036913702783364,-24.333276909705724,nan,2.623311816310503e-25,1.7276675404294768e-06
-14.03684010335932,-24.332847592993534,nan,-14.036840103359317,-24.33284759299352,nan,4.519119318364395e-27,7.218926481598743e-05
