evidence,significance_level,evidence_linear,significance_level_linear,posterior_weighted_theta,posterior_weighted_delta,prediction_skill_s,prediction_skill_ns
-15.797236492275058,-36.99475507132838,-15.791814299127335,-36.947347987598356,2.5250224962018157e-20,0.0003642821868150383,0.985873116831142,0.985873116831142
-15.796821173539982,-36.99112178106694,-15.763608356144516,-36.70169151674007,1.2847536208215428e-22,0.0006171881027501937,0.9860097519469272,0.9860097519469272
-15.738294196463869,-36.48257508525608,-15.756352089310026,-36.63875147796468,2.7159398296370724e-24,0.036367848570141616,0.9835907969561012,0.9835907969561012
-15.788919725376239,-36.92206449783359,-15.789238013532163,-36.924843853039185,1.617107574396562e-13,0.005506738311282043,0.9828664366820296,0.9828664366820296
-15.796281943765704,-36.98640501096316,-15.7957061258183,-36.98136884203084,9.087272987887301e-19,0.0009468150601298414,0.9849981770046182,0.9849981770046182
-15.796642404658614,-36.989557982574105,-15.795470840860409,-36.979311205318105,1.2171548358161394e-22,0.0007279722933351747,0.9851407650925094,0.9851407650925094
-15.797257167430951,-36.99493595075164,-15.796484941113253,-36.98818060793729,1.2677888401345826e-20,0.00035161225708222514,0.9851996401010222,0.9851996401010222
-15.785996001668243,-36.896543490481726,-15.787802039152092,-36.91230625376535,4.626562064731658e-25,0.0072711225486373505,0.9849650276388554,0.9849650276388554
-15.73055973325699,-36.415880800349775,-15.7458041916577,-36.547447538437574,1.743280979072718e-17,0.041513765916045095,0.9860449708668201,0.9860449708668201
-15.797650423465646,-36.998376568808,-15.7963091285866,-36.986642788989755,1.5194703006538701e-19,0.00011270676964475812,0.9830924644395982,0.9830924644395982
-15.783985053516327,-36.87900001562756,-15.79350235227152,-36.962100556075924,4.057971139956436e-25,0.00843043071010467,0.9850154226989057,0.9850154226989057
-15.600066777839764,-35.308363756140466,-15.78601106288048,-36.89667491487187,4.152691570378043e-17,0.12114013107552611,0.9844130826141967,0.9844130826141967
-15.796827850046045,-36.99118018571182,-15.795452246436508,-36.9791485963213,2.8471981297505365e-21,0.0006126083317179256,0.98393429994313,0.98393429994313
-15.763566100297044,-36.70132468979608,-15.79400021630603,-36.96645268319059,3.8442657084662753e-17,0.021152921858432917,0.9848083977852049,0.9848083977852049
-15.79576755549343,-36.98190608110417,-15.794765862179647,-36.97314662510405,1.3063692312125773e-15,0.0012597562696526545,0.981543967316354,0.981543967316354
-15.795480949886052,-36.979399609452564,-15.795564596115817,-36.980131109462796,2.499819694939207e-22,0.0014316469898405465,0.9831231778298318,0.9831231778298318
-15.797512562359572,-36.99717037916082,-15.79274242759341,-36.95545856211415,1.9248609110599088e-23,0.00019685585440620308,0.9833463653046912,0.9833463653046912
-15.79720526998091,-36.994481920458604,-15.79511938336887,-36.976237812974404,1.1977220793554406e-17,0.0003828282554080971,0.9832860325382663,0.9832860325382663
-15.748188350586155,-36.56806572777498,-15.785495380710174,-36.8921753229638,1.219684888757007e-12,0.030357256615607536,0.9845720344375074,0.9845720344375074
-15.797192066232277,-36.99436640694255,-15.793102536282884,-36.95860588672738,2.6435120123637235e-21,0.0003928605800549693,0.9864446582904528,0.9864446582904528
-15.796803007612652,-36.99096286988045,-15.795157660102506,-36.976572519678164,1.8625494038597413e-22,0.0006315782045508368,0.9869777787767525,0.9869777787767525
