# evidence, significance_level, bayes factor error, linear evidence, linear significance_level, linear bayes factor error, posterior weighted theta, posterior weighted delta
-14.0369,-24.3333,nan,-10.6444,-10.5994,nan,7.8947,0.0000
-14.0369,-24.3333,nan,-13.2196,-19.9873,nan,7.8947,0.0000
-14.036923372856393,-24.333333317263435,nan,-11.134432977554209,-11.985040178132957,nan,7.89473684763118,2.503996339249923e-09
-14.036923375611256,-24.333333333333144,nan,-12.116577252858512,-15.280124631689521,nan,7.894736860239494,3.0441085612881954e-14
-14.036923375433384,-24.33333333229557,nan,-12.137541460785066,-15.35890182515962,nan,7.894736849736516,1.6170397347278767e-10
-14.036923375610522,-24.333333333328856,nan,-11.04353949805278,-11.716100446142896,nan,7.894736991891204,6.982788491679999e-13
-14.036923375561328,-24.333333333041896,nan,-10.811587155813214,-11.054764086259862,nan,7.894736879566143,4.5411997050928816e-11
-14.036923372202434,-24.333333313448748,nan,-10.174525537489995,-9.410043726925116,nan,7.894736845658278,3.0983618305934766e-09
-14.036923375578265,-24.333333333140697,nan,-7.551929224829803,-4.691056830740259,nan,7.894736847144597,3.001713440949065e-11
-14.036923371857117,-24.33333331143444,nan,-4.258117448994139,-1.6657029027741577,nan,7.894736873039126,3.4123679591793337e-09
-14.036923374183827,-24.33333332500664,nan,-11.756484447684766,-13.984713530850422,nan,7.894736843224195,1.297458326658791e-09
-14.036923375598345,-24.333333333257826,nan,-12.573773742535465,-17.087451277162916,nan,7.894736956247895,1.1766653315695795e-11
-14.036923375610545,-24.333333333328998,nan,-12.063570725841476,-15.082630073489042,nan,7.894736956715018,6.752133448824099e-13
-14.03692337550292,-24.333333332701187,nan,-10.067589945644709,-9.156848968203331,nan,7.894736847313143,9.849984766792565e-11
-14.036923375245895,-24.333333331201914,nan,-7.834963244182136,-5.074301219542837,nan,7.894736936860968,3.3211603162929184e-10
-14.036923375286364,-24.33333333143797,nan,-10.056310397581907,-9.130503705892002,nan,7.894737026815561,2.95330004361132e-10
-14.03692337560582,-24.333333333301436,nan,-9.509093066444041,-7.93118954968797,nan,7.894736852273401,4.969421305991757e-12
-14.036923375378926,-24.333333331977915,nan,-12.433291186593982,-16.511732665424525,nan,7.89473688518916,2.1119746680054987e-10
-14.03692337557356,-24.333333333113252,nan,-13.279810674631321,-20.28046274385513,nan,7.894736877133044,3.429220658076816e-11
-14.036923375610261,-24.333333333327342,nan,-13.011200462943574,-19.004147414749163,nan,7.894737318672963,9.320006295272558e-13
-14.036923375405161,-24.333333332130945,nan,-11.870558454987973,-14.383524428074786,nan,7.894736934894739,1.8735321242304444e-10
-14.036923375542585,-24.333333332932565,nan,-13.430400793069392,-21.031297717385293,nan,7.894737217318929,6.244519295314213e-11
-14.036923375550794,-24.33333333298045,nan,-12.46402945703472,-16.636115959638275,nan,7.8947368532351865,5.498420343010364e-11
-14.036923153210353,-24.33333203602076,nan,-13.383125747537063,-20.792776995130463,nan,7.89473687505174,2.021435928470029e-07
-14.036923375578745,-24.333333333143496,nan,-13.552861179520892,-21.66136771590267,nan,7.89473685422801,2.9580806578626154e-11
-14.036923375473062,-24.33333333252703,nan,-12.99525064340913,-18.93081529116871,nan,7.8947370823376435,1.2563642013704953e-10
-14.036923062118042,-24.333331504659714,nan,-12.541985652225456,-16.955543905728756,nan,7.894736996127632,2.8493902673602713e-07
-14.036923375515983,-24.333333332777386,nan,-10.431484055207768,-10.044559660759875,nan,7.894737689126179,8.662661264700512e-11
-14.036923375609675,-24.33333333332392,nan,-11.52044445857928,-13.192027559923252,nan,7.894736843304663,1.4661038748467464e-12
-14.036923375552636,-24.333333332991202,nan,-12.649115536176659,-17.403971566260726,nan,7.894736846078263,5.331152530184412e-11
-14.036923375578178,-24.333333333140192,nan,-7.641249823068935,-4.809315753487147,nan,7.894736843215763,3.0094688890323524e-11
-14.036923375574817,-24.33333333312058,nan,-9.804049375164434,-8.558834393112122,nan,7.894736849041385,3.3149697414079806e-11
-14.036920293752562,-24.333315356193403,nan,-9.546955643839656,-8.009393676935073,nan,7.894736854117093,2.801159766316078e-06
-14.036923374265186,-24.333333325481227,nan,-12.18918433539513,-15.554590163608179,nan,7.894736865970281,1.2234942146283882e-09
-14.036923375608875,-24.33333333331926,nan,-11.407466488830678,-12.827594935991332,nan,7.894736905708235,2.191506156938236e-12
