nonstationary level,time series length,observation noise,process noise,evidence,significance_level,bayes factor error
0,50,0.1,0.1,-4.501996827090231,-1.8196790834420837,7.559784784288818e-06
1,50,0.1,0.1,-3.4850166203477078,-1.2310107454912842,1.8641064818745464e-05
2,50,0.1,0.1,3.5066323812951588,0.5539980455416409,2.0632350164589244e-05
0,50,0.1,0.1,-3.7116688842043373,-1.3505358990089356,0.00945217530342031
1,50,0.1,0.1,-3.7693078328952225,-1.3819398118125448,9.159372872747832e-08
2,50,0.1,0.1,2.079579107233074,0.3804988894143754,1.1016483877688126e-05
0,50,0.1,0.1,-3.378274665172994,-1.176844798830352,2.501044806759811e-07
0,50,0.1,0.1,-3.832016657327882,-1.4165827202015038,0.004069115876508877
1,50,0.1,0.1,-3.039382225741074,-1.0134378224307423,0.09721045923532687
2,50,0.1,0.1,3.079625434680005,0.5079180256273547,4.5858328507680003e-07
0,100,0.1,0.1,-3.942499362349649,-1.4788482230013003,1.937532529995206e-08
1,100,0.1,0.1,-0.5199187216748266,-0.12717636084321948,0.00012533621195922297
2,100,0.1,0.1,4.8181835464627785,0.6702523984459479,1.1478314729095792e-08
0,200,0.1,0.1,-4.141189771412208,-1.5948901478618502,4.80881301105087e-07
1,200,0.1,0.1,18.76222609738289,0.9867022736875756,3.9588251243682855e-05
2,200,0.1,0.1,20.035456056484087,0.9900813082329114,3.003179571226081e-05
0,100,0.0,0.1,-5.668621528267423,-2.688605018767168,7.874686613862585e-05
1,100,0.0,0.1,9.253942470778997,0.8812576190401697,1.0098613205139285e-06
2,100,0.0,0.1,9.456306120504742,0.8866636067099299,1.1558377468599221e-05
0,100,0.1,0.1,-3.1821646006852293,-1.0807335031616385,4.065979635761444e-09
1,100,0.1,0.1,-4.610461747663667,-1.890987239630466,3.606917031760788e-08
2,100,0.1,0.1,-0.48181452751371356,-0.11732998235778824,1.5062981104390057e-06
0,100,0.2,0.1,-2.726185652283143,-0.8733484495657409,9.772092499397996
1,100,0.2,0.1,-2.628902542795629,-0.8318514571035645,2.1851683657170855
2,100,0.2,0.1,-2.0938509933767064,-0.619515464356649,0.09545162487952205
0,100,0.3,0.1,-3.0176508138948965,-1.0033880613703796,1.491177566541158
1,100,0.3,0.1,-2.2784345317909183,-0.6898317010971959,0.0007992360513551942
2,100,0.3,0.1,-0.25558869859958583,-0.060617698393041985,0.004320243444038647
0,100,0.1,0.0,-5.7429503536731,-2.7522782446540046,5.831591186836168e-08
1,100,0.1,0.0,-3.686618344341997,-1.337016800209581,1.849362575417655e-08
2,100,0.1,0.0,5.045803337884869,0.6870898388743731,8.343665461152802e-06
0,100,0.1,0.1,-4.167499261280713,-1.6106576620980437,0.0001576559023732569
1,100,0.1,0.1,-1.1041355750679753,-0.28947687333479233,4.187260233640012e-07
2,100,0.1,0.1,0.2128687670756735,0.04783300530949619,8.808044880158359e-06
0,100,0.1,0.2,-4.710326778080267,-1.958235045939975,0.0009615201868217355
1,100,0.1,0.2,-3.77322115345428,-1.384087086364822,2.5240105588827865e-06
2,100,0.1,0.2,1.9004955462281212,0.35441943832195677,1.7490452067895864e-05
0,50,0.1,0.1,-3.025066830586512,-1.0068119712277688,2.7845413387467387e-06
1,50,0.1,0.1,-4.602473269861699,-1.8856744021197156,0.007033750174361917
2,50,0.1,0.1,4.189770740440613,0.6189140600050841,1.695099824657494e-05
0,100,0.1,0.1,-3.564987781074475,-1.2724732416320768,0.00032511464915743553
1,100,0.1,0.1,-3.601704864902311,-1.291767131511926,1.2627162395723417e-07
2,100,0.1,0.1,7.825971449690301,0.8350308050567637,1.843911809935001e-07
0,200,0.1,0.1,-4.9708829261829335,-2.141147228176993,4.3319778649130444e-08
1,200,0.1,0.1,5.335336857091719,0.7072706190673376,1.653673629788505e-05
2,200,0.1,0.1,32.8849498696188,0.9994853582525383,6.46375935800739e-06
0,100,0.0,0.1,-2.7230159877083264,-0.8719816995536676,5.4469111065138126e-08
1,100,0.0,0.1,11.563091384599138,0.9302264433193814,1.8497760494076173e-05
2,100,0.0,0.1,110.87176921397598,0.9999999999918187,1.6996535687832764e-05
0,100,0.1,0.1,-2.8493064387678424,-0.9272171151717852,3.4027269604884605e-09
1,100,0.1,0.1,-0.1665664653792959,-0.039098329275101484,2.3689514053326015e-05
2,100,0.1,0.1,11.1097242455744,0.9225489026337031,1.6799718264996647e-05
0,100,0.2,0.1,-0.36461892773559873,-0.08758170344449301,0.01007713104191269
1,100,0.2,0.1,-2.5163080995911136,-0.784969542301958,0.15804482383413598
2,100,0.2,0.1,-4.330447764207438,-1.7104710711697209,0.2194999155387147
0,100,0.3,0.1,-0.9257777436603505,-0.23759280080406686,0.2732807758170105
1,100,0.3,0.1,-1.6561806847735454,-0.46425956102535104,0.004271287678827631
2,100,0.3,0.1,-2.4462683400700196,-0.7564137730849003,0.020339788756354588
0,100,0.1,0.0,-3.8302196081220585,-1.4155829792687284,0.01107039923382528
1,100,0.1,0.0,-2.0676943950014217,-0.6097907942276886,3.073059267675642e-06
2,100,0.1,0.0,9.271012885068245,0.8817234327449139,8.454516643498274e-06
0,100,0.1,0.1,-1.3797548977280614,-0.37396443055349105,3.1556718282972793e-06
1,100,0.1,0.1,-1.9792671174115453,-0.5773450663906587,2.0234914547912377e-07
2,100,0.1,0.1,1.0214050482482109,0.20957713438687764,8.536509537128822e-06
0,100,0.1,0.2,-3.751521255197392,-1.3722045005747132,0.0006600812655620805
1,100,0.1,0.2,-4.471293192498805,-1.7998148924187247,6.116943559791301e-09
2,100,0.1,0.2,-2.684912416140052,-0.8556293867100773,3.6495451122802524e-06
0,50,0.1,0.1,-3.9712133293371554,-1.495291762696327,4.466893315369709
1,50,0.1,0.1,-2.1365960692674015,-0.6355341134318804,0.0013070027085356276
2,50,0.1,0.1,-3.380572756212399,-1.1779969919943247,8.76480804045465e-06
0,100,0.1,0.1,-5.542613087105002,-2.5831196338431317,1.8177418242934972e-06
1,100,0.1,0.1,-0.458839904265418,-0.11143479903398767,2.6961334009248724e-05
2,100,0.1,0.1,7.962863266702761,0.8401496198873861,8.453966705401137e-06
0,200,0.1,0.1,-3.0687082668655408,-1.0270797103693488,4.301132507096281e-08
1,200,0.1,0.1,-1.6881950810785482,-0.47509336010581604,5.9235910573836735e-05
2,200,0.1,0.1,30.147293735398414,0.9990333469480283,1.1743856680645291e-06
0,100,0.0,0.1,-4.6130581625402876,-1.892716123329433,1.388389873977973e-07
1,100,0.0,0.1,21.833373003707504,0.993443641394766,4.238256302929785e-05
2,100,0.0,0.1,175.00935171131445,1.0,8.797079358976458e-05
0,100,0.1,0.1,-0.7364934805236868,-0.18481173782750515,4.694052190602412e-08
1,100,0.1,0.1,-1.723557849844949,-0.48715345697727086,6.850053812413484e-05
2,100,0.1,0.1,1.5092046845111398,0.29355308725950746,4.81800816018154e-06
0,100,0.2,0.1,-3.525348197625304,-1.2518259507025968,4.20158990965289
1,100,0.2,0.1,-1.7913642833901446,-0.5105546020288345,0.09767159843957884
2,100,0.2,0.1,-2.3466896366305554,-0.716599428744678,0.01905331822233923
0,100,0.3,0.1,-2.523395835114477,-0.7878850113643541,0.7179800590978656
