nonstationary level,time series length,observation noise,process noise,evidence,significance_level
0,50,0.1,0.035,-5.282250791623881,0.22859120089621895
1,50,0.1,0.035,-7.20397929878159,0.15992616667244466
2,50,0.1,0.035,11.406138127315721,0.9325389396995893
0,100,0.1,0.035,-22.30216426514034,0.005851066370668951
1,100,0.1,0.035,2.923824392459652,0.6622272507089854
2,100,0.1,0.035,126.6891064215642,0.9999999999997856
0,200,0.1,0.035,-22.323057508273457,0.005823148906038879
1,200,0.1,0.035,36.6894028648436,0.9997857273966798
2,200,0.1,0.035,258.6765647629101,1.0
0,200,0.0,0.035,-22.765267341977,0.005262375215641207
1,200,0.0,0.035,403.14510375423174,1.0
2,200,0.0,0.035,247.3725222881285,1.0
0,200,0.1,0.035,-17.519115901095134,0.01739669031578974
1,200,0.1,0.035,42.74867114493133,0.9999468981290378
2,200,0.1,0.035,149.0531943366875,0.9999999999999988
0,200,0.2,0.035,-19.48762641386344,0.011126994672517933
1,200,0.2,0.035,-1.9606527819619823,0.3890144102716679
2,200,0.2,0.035,111.28412899910057,0.9999999999925597
0,200,0.3,0.035,-21.927384784284882,0.006375056044027148
1,200,0.3,0.035,8.795226502260357,0.8834151323657576
2,200,0.3,0.035,53.14190288860736,0.9999951492643845
0,200,0.1,0.0,-22.19144274255337,0.006001247871270888
1,200,0.1,0.0,43.56766043518728,0.9999560240877295
2,200,0.1,0.0,128.36592435506878,0.9999999999998543
0,200,0.1,0.035,-22.355247946508374,0.005780395150612839
1,200,0.1,0.035,10.949647850158492,0.9256181339723533
2,200,0.1,0.035,209.8157106561931,1.0
0,200,0.1,0.071,-22.29712728110183,0.005857816648739636
1,200,0.1,0.071,19.133544853404864,0.9879392105123758
2,200,0.1,0.071,265.3592563442387,1.0
0,50,0.1,0.035,-5.282250791623881,0.22859120089621895
1,50,0.1,0.035,-7.20397929878159,0.15992616667244466
2,50,0.1,0.035,11.406138127315721,0.9325389396995893
0,100,0.1,0.035,-22.30216426514034,0.005851066370668951
1,100,0.1,0.035,2.923824392459652,0.6622272507089854
2,100,0.1,0.035,126.6891064215642,0.9999999999997856
0,200,0.1,0.035,-22.323057508273457,0.005823148906038879
1,200,0.1,0.035,36.6894028648436,0.9997857273966798
2,200,0.1,0.035,258.6765647629101,1.0
0,200,0.0,0.035,-22.765267341977,0.005262375215641207
1,200,0.0,0.035,403.14510375423174,1.0
2,200,0.0,0.035,247.3725222881285,1.0
0,200,0.1,0.035,-17.519115901095134,0.01739669031578974
1,200,0.1,0.035,42.74867114493133,0.9999468981290378
2,200,0.1,0.035,149.0531943366875,0.9999999999999988
0,200,0.2,0.035,-19.48762641386344,0.011126994672517933
1,200,0.2,0.035,-1.9606527819619823,0.3890144102716679
2,200,0.2,0.035,111.28412899910057,0.9999999999925597
0,200,0.3,0.035,-21.927384784284882,0.006375056044027148
1,200,0.3,0.035,8.795226502260357,0.8834151323657576
2,200,0.3,0.035,53.14190288860736,0.9999951492643845
0,200,0.1,0.0,-22.19144274255337,0.006001247871270888
1,200,0.1,0.0,43.56766043518728,0.9999560240877295
2,200,0.1,0.0,128.36592435506878,0.9999999999998543
0,200,0.1,0.035,-22.355247946508374,0.005780395150612839
1,200,0.1,0.035,10.949647850158492,0.9256181339723533
2,200,0.1,0.035,209.8157106561931,1.0
0,200,0.1,0.071,-22.29712728110183,0.005857816648739636
1,200,0.1,0.071,19.133544853404864,0.9879392105123758
2,200,0.1,0.071,265.3592563442387,1.0
0,50,0.1,0.035,-5.282250791623881,0.22859120089621895
1,50,0.1,0.035,-7.20397929878159,0.15992616667244466
2,50,0.1,0.035,11.406138127315721,0.9325389396995893
0,100,0.1,0.035,-22.30216426514034,0.005851066370668951
1,100,0.1,0.035,2.923824392459652,0.6622272507089854
2,100,0.1,0.035,126.6891064215642,0.9999999999997856
0,200,0.1,0.035,-22.323057508273457,0.005823148906038879
1,200,0.1,0.035,36.6894028648436,0.9997857273966798
2,200,0.1,0.035,258.6765647629101,1.0
0,200,0.0,0.035,-22.765267341977,0.005262375215641207
1,200,0.0,0.035,403.14510375423174,1.0
2,200,0.0,0.035,247.3725222881285,1.0
0,200,0.1,0.035,-17.519115901095134,0.01739669031578974
1,200,0.1,0.035,42.74867114493133,0.9999468981290378
2,200,0.1,0.035,149.0531943366875,0.9999999999999988
0,200,0.2,0.035,-19.48762641386344,0.011126994672517933
1,200,0.2,0.035,-1.9606527819619823,0.3890144102716679
2,200,0.2,0.035,111.28412899910057,0.9999999999925597
0,200,0.3,0.035,-21.927384784284882,0.006375056044027148
1,200,0.3,0.035,8.795226502260357,0.8834151323657576
2,200,0.3,0.035,53.14190288860736,0.9999951492643845
0,200,0.1,0.0,-22.19144274255337,0.006001247871270888
1,200,0.1,0.0,43.56766043518728,0.9999560240877295
2,200,0.1,0.0,128.36592435506878,0.9999999999998543
0,200,0.1,0.035,-22.355247946508374,0.005780395150612839
1,200,0.1,0.035,10.949647850158492,0.9256181339723533
2,200,0.1,0.035,209.8157106561931,1.0
0,200,0.1,0.071,-22.29712728110183,0.005857816648739636
1,200,0.1,0.071,19.133544853404864,0.9879392105123758
2,200,0.1,0.071,265.3592563442387,1.0
0,50,0.1,0.035,-5.282250791623881,0.22859120089621895
1,50,0.1,0.035,-7.20397929878159,0.15992616667244466
2,50,0.1,0.035,11.406138127315721,0.9325389396995893
0,100,0.1,0.035,-22.30216426514034,0.005851066370668951
1,100,0.1,0.035,2.923824392459652,0.6622272507089854
2,100,0.1,0.035,126.6891064215642,0.9999999999997856
0,200,0.1,0.035,-22.323057508273457,0.005823148906038879
1,200,0.1,0.035,36.6894028648436,0.9997857273966798
2,200,0.1,0.035,258.6765647629101,1.0
0,200,0.0,0.035,-22.765267341977,0.005262375215641207
1,200,0.0,0.035,403.14510375423174,1.0
2,200,0.0,0.035,247.3725222881285,1.0
0,200,0.1,0.035,-17.519115901095134,0.01739669031578974
1,200,0.1,0.035,42.74867114493133,0.9999468981290378
2,200,0.1,0.035,149.0531943366875,0.9999999999999988
0,200,0.2,0.035,-19.48762641386344,0.011126994672517933
1,200,0.2,0.035,-1.9606527819619823,0.3890144102716679
2,200,0.2,0.035,111.28412899910057,0.9999999999925597
0,200,0.3,0.035,-21.927384784284882,0.006375056044027148
1,200,0.3,0.035,8.795226502260357,0.8834151323657576
2,200,0.3,0.035,53.14190288860736,0.9999951492643845
0,200,0.1,0.0,-22.19144274255337,0.006001247871270888
1,200,0.1,0.0,43.56766043518728,0.9999560240877295
2,200,0.1,0.0,128.36592435506878,0.9999999999998543
0,200,0.1,0.035,-22.355247946508374,0.005780395150612839
1,200,0.1,0.035,10.949647850158492,0.9256181339723533
2,200,0.1,0.035,209.8157106561931,1.0
0,200,0.1,0.071,-22.29712728110183,0.005857816648739636
1,200,0.1,0.071,19.133544853404864,0.9879392105123758
2,200,0.1,0.071,265.3592563442387,1.0
0,50,0.1,0.035,-5.282250791623881,0.22859120089621895
1,50,0.1,0.035,-7.20397929878159,0.15992616667244466
2,50,0.1,0.035,11.406138127315721,0.9325389396995893
0,100,0.1,0.035,-22.30216426514034,0.005851066370668951
1,100,0.1,0.035,2.923824392459652,0.6622272507089854
2,100,0.1,0.035,126.6891064215642,0.9999999999997856
0,200,0.1,0.035,-22.323057508273457,0.005823148906038879
1,200,0.1,0.035,36.6894028648436,0.9997857273966798
2,200,0.1,0.035,258.6765647629101,1.0
0,200,0.0,0.035,-22.765267341977,0.005262375215641207
1,200,0.0,0.035,403.14510375423174,1.0
2,200,0.0,0.035,247.3725222881285,1.0
0,200,0.1,0.035,-17.519115901095134,0.01739669031578974
1,200,0.1,0.035,42.74867114493133,0.9999468981290378
2,200,0.1,0.035,149.0531943366875,0.9999999999999988
0,200,0.2,0.035,-19.48762641386344,0.011126994672517933
1,200,0.2,0.035,-1.9606527819619823,0.3890144102716679
2,200,0.2,0.035,111.28412899910057,0.9999999999925597
0,200,0.3,0.035,-21.927384784284882,0.006375056044027148
1,200,0.3,0.035,8.795226502260357,0.8834151323657576
2,200,0.3,0.035,53.14190288860736,0.9999951492643845
0,200,0.1,0.0,-22.19144274255337,0.006001247871270888
1,200,0.1,0.0,43.56766043518728,0.9999560240877295
2,200,0.1,0.0,128.36592435506878,0.9999999999998543
0,200,0.1,0.035,-22.355247946508374,0.005780395150612839
1,200,0.1,0.035,10.949647850158492,0.9256181339723533
2,200,0.1,0.035,209.8157106561931,1.0
0,200,0.1,0.071,-22.29712728110183,0.005857816648739636
1,200,0.1,0.071,19.133544853404864,0.9879392105123758
2,200,0.1,0.071,265.3592563442387,1.0
0,50,0.1,0.035,-5.282250791623881,0.22859120089621895
1,50,0.1,0.035,-7.20397929878159,0.15992616667244466
2,50,0.1,0.035,11.406138127315721,0.9325389396995893
0,100,0.1,0.035,-22.30216426514034,0.005851066370668951
1,100,0.1,0.035,2.923824392459652,0.6622272507089854
2,100,0.1,0.035,126.6891064215642,0.9999999999997856
0,200,0.1,0.035,-22.323057508273457,0.005823148906038879
1,200,0.1,0.035,36.6894028648436,0.9997857273966798
2,200,0.1,0.035,258.6765647629101,1.0
0,200,0.0,0.035,-22.765267341977,0.005262375215641207
1,200,0.0,0.035,403.14510375423174,1.0
2,200,0.0,0.035,247.3725222881285,1.0
0,200,0.1,0.035,-17.519115901095134,0.01739669031578974
1,200,0.1,0.035,42.74867114493133,0.9999468981290378
2,200,0.1,0.035,149.0531943366875,0.9999999999999988
0,200,0.2,0.035,-19.48762641386344,0.011126994672517933
1,200,0.2,0.035,-1.9606527819619823,0.3890144102716679
2,200,0.2,0.035,111.28412899910057,0.9999999999925597
0,200,0.3,0.035,-21.927384784284882,0.006375056044027148
1,200,0.3,0.035,8.795226502260357,0.8834151323657576
2,200,0.3,0.035,53.14190288860736,0.9999951492643845
0,200,0.1,0.0,-22.19144274255337,0.006001247871270888
1,200,0.1,0.0,43.56766043518728,0.9999560240877295
2,200,0.1,0.0,128.36592435506878,0.9999999999998543
0,200,0.1,0.035,-22.355247946508374,0.005780395150612839
1,200,0.1,0.035,10.949647850158492,0.9256181339723533
2,200,0.1,0.035,209.8157106561931,1.0
0,200,0.1,0.071,-22.29712728110183,0.005857816648739636
1,200,0.1,0.071,19.133544853404864,0.9879392105123758
2,200,0.1,0.071,265.3592563442387,1.0
0,50,0.1,0.035,-5.282250791623881,0.22859120089621895
1,50,0.1,0.035,-7.20397929878159,0.15992616667244466
2,50,0.1,0.035,11.406138127315721,0.9325389396995893
0,100,0.1,0.035,-22.30216426514034,0.005851066370668951
1,100,0.1,0.035,2.923824392459652,0.6622272507089854
2,100,0.1,0.035,126.6891064215642,0.9999999999997856
0,200,0.1,0.035,-22.323057508273457,0.005823148906038879
1,200,0.1,0.035,36.6894028648436,0.9997857273966798
2,200,0.1,0.035,258.6765647629101,1.0
0,200,0.0,0.035,-22.765267341977,0.005262375215641207
1,200,0.0,0.035,403.14510375423174,1.0
2,200,0.0,0.035,247.3725222881285,1.0
0,200,0.1,0.035,-17.519115901095134,0.01739669031578974
1,200,0.1,0.035,42.74867114493133,0.9999468981290378
2,200,0.1,0.035,149.0531943366875,0.9999999999999988
0,200,0.2,0.035,-19.48762641386344,0.011126994672517933
1,200,0.2,0.035,-1.9606527819619823,0.3890144102716679
2,200,0.2,0.035,111.28412899910057,0.9999999999925597
0,200,0.3,0.035,-21.927384784284882,0.006375056044027148
1,200,0.3,0.035,8.795226502260357,0.8834151323657576
2,200,0.3,0.035,53.14190288860736,0.9999951492643845
0,200,0.1,0.0,-22.19144274255337,0.006001247871270888
1,200,0.1,0.0,43.56766043518728,0.9999560240877295
2,200,0.1,0.0,128.36592435506878,0.9999999999998543
0,200,0.1,0.035,-22.355247946508374,0.005780395150612839
1,200,0.1,0.035,10.949647850158492,0.9256181339723533
2,200,0.1,0.035,209.8157106561931,1.0
0,200,0.1,0.071,-22.29712728110183,0.005857816648739636
1,200,0.1,0.071,19.133544853404864,0.9879392105123758
2,200,0.1,0.071,265.3592563442387,1.0
0,50,0.1,0.035,-5.282250791623881,0.22859120089621895
1,50,0.1,0.035,-7.20397929878159,0.15992616667244466
2,50,0.1,0.035,11.406138127315721,0.9325389396995893
0,100,0.1,0.035,-22.30216426514034,0.005851066370668951
1,100,0.1,0.035,2.923824392459652,0.6622272507089854
2,100,0.1,0.035,126.6891064215642,0.9999999999997856
0,200,0.1,0.035,-22.323057508273457,0.005823148906038879
1,200,0.1,0.035,36.6894028648436,0.9997857273966798
2,200,0.1,0.035,258.6765647629101,1.0
0,200,0.0,0.035,-22.765267341977,0.005262375215641207
1,200,0.0,0.035,403.14510375423174,1.0
2,200,0.0,0.035,247.3725222881285,1.0
0,200,0.1,0.035,-17.519115901095134,0.01739669031578974
1,200,0.1,0.035,42.74867114493133,0.9999468981290378
2,200,0.1,0.035,149.0531943366875,0.9999999999999988
0,200,0.2,0.035,-19.48762641386344,0.011126994672517933
1,200,0.2,0.035,-1.9606527819619823,0.3890144102716679
2,200,0.2,0.035,111.28412899910057,0.9999999999925597
0,200,0.3,0.035,-21.927384784284882,0.006375056044027148
1,200,0.3,0.035,8.795226502260357,0.8834151323657576
2,200,0.3,0.035,53.14190288860736,0.9999951492643845
0,200,0.1,0.0,-22.19144274255337,0.006001247871270888
1,200,0.1,0.0,43.56766043518728,0.9999560240877295
2,200,0.1,0.0,128.36592435506878,0.9999999999998543
0,200,0.1,0.035,-22.355247946508374,0.005780395150612839
1,200,0.1,0.035,10.949647850158492,0.9256181339723533
2,200,0.1,0.035,209.8157106561931,1.0
0,200,0.1,0.071,-22.29712728110183,0.005857816648739636
1,200,0.1,0.071,19.133544853404864,0.9879392105123758
2,200,0.1,0.071,265.3592563442387,1.0
0,50,0.1,0.035,-5.282250791623881,0.22859120089621895
1,50,0.1,0.035,-7.20397929878159,0.15992616667244466
2,50,0.1,0.035,11.406138127315721,0.9325389396995893
0,100,0.1,0.035,-22.30216426514034,0.005851066370668951
1,100,0.1,0.035,2.923824392459652,0.6622272507089854
2,100,0.1,0.035,126.6891064215642,0.9999999999997856
0,200,0.1,0.035,-22.323057508273457,0.005823148906038879
1,200,0.1,0.035,36.6894028648436,0.9997857273966798
2,200,0.1,0.035,258.6765647629101,1.0
0,200,0.0,0.035,-22.765267341977,0.005262375215641207
1,200,0.0,0.035,403.14510375423174,1.0
2,200,0.0,0.035,247.3725222881285,1.0
0,200,0.1,0.035,-17.519115901095134,0.01739669031578974
1,200,0.1,0.035,42.74867114493133,0.9999468981290378
2,200,0.1,0.035,149.0531943366875,0.9999999999999988
0,200,0.2,0.035,-19.48762641386344,0.011126994672517933
1,200,0.2,0.035,-1.9606527819619823,0.3890144102716679
2,200,0.2,0.035,111.28412899910057,0.9999999999925597
0,200,0.3,0.035,-21.927384784284882,0.006375056044027148
1,200,0.3,0.035,8.795226502260357,0.8834151323657576
2,200,0.3,0.035,53.14190288860736,0.9999951492643845
0,200,0.1,0.0,-22.19144274255337,0.006001247871270888
1,200,0.1,0.0,43.56766043518728,0.9999560240877295
2,200,0.1,0.0,128.36592435506878,0.9999999999998543
0,200,0.1,0.035,-22.355247946508374,0.005780395150612839
1,200,0.1,0.035,10.949647850158492,0.9256181339723533
2,200,0.1,0.035,209.8157106561931,1.0
0,200,0.1,0.071,-22.29712728110183,0.005857816648739636
1,200,0.1,0.071,19.133544853404864,0.9879392105123758
2,200,0.1,0.071,265.3592563442387,1.0
0,50,0.1,0.035,-5.282250791623881,0.22859120089621895
1,50,0.1,0.035,-7.20397929878159,0.15992616667244466
2,50,0.1,0.035,11.406138127315721,0.9325389396995893
0,100,0.1,0.035,-22.30216426514034,0.005851066370668951
1,100,0.1,0.035,2.923824392459652,0.6622272507089854
2,100,0.1,0.035,126.6891064215642,0.9999999999997856
0,200,0.1,0.035,-22.323057508273457,0.005823148906038879
1,200,0.1,0.035,36.6894028648436,0.9997857273966798
2,200,0.1,0.035,258.6765647629101,1.0
0,200,0.0,0.035,-22.765267341977,0.005262375215641207
1,200,0.0,0.035,403.14510375423174,1.0
2,200,0.0,0.035,247.3725222881285,1.0
0,200,0.1,0.035,-17.519115901095134,0.01739669031578974
1,200,0.1,0.035,42.74867114493133,0.9999468981290378
2,200,0.1,0.035,149.0531943366875,0.9999999999999988
0,200,0.2,0.035,-19.48762641386344,0.011126994672517933
1,200,0.2,0.035,-1.9606527819619823,0.3890144102716679
2,200,0.2,0.035,111.28412899910057,0.9999999999925597
0,200,0.3,0.035,-21.927384784284882,0.006375056044027148
1,200,0.3,0.035,8.795226502260357,0.8834151323657576
2,200,0.3,0.035,53.14190288860736,0.9999951492643845
