nonstationary level,time series length,observation noise,process noise,evidence,significance_level
0,50,0.1,0.1,-21.938385586246806,0.00635903083850431
1,50,0.1,0.1,-14.640266684802478,0.03321270633004565
2,50,0.1,0.1,34.238380807950904,0.9996232976854285
0,100,0.1,0.1,-21.79367345793986,0.006573074896025495
1,100,0.1,0.1,-14.668516060736469,0.03300447715794609
2,100,0.1,0.1,96.92801722991398,0.9999999997971392
0,200,0.1,0.1,-22.50926826240944,0.0055801127579751565
1,200,0.1,0.1,18.078089549692734,0.9846720993290049
2,200,0.1,0.1,265.89670227284574,1.0
0,200,0.0,0.1,-22.722226736326057,0.0053145085454070155
1,200,0.0,0.1,238.76466001168893,1.0
2,200,0.0,0.1,227.65565331171604,1.0
0,200,0.1,0.1,-22.50217642161388,0.0055891813136161395
1,200,0.1,0.1,28.270801502431873,0.9985131278434823
2,200,0.1,0.1,112.55838910479366,0.9999999999944517
0,200,0.2,0.1,-22.56964055588618,0.005503502931607892
1,200,0.2,0.1,4.081973300592489,0.719081293087509
2,200,0.2,0.1,87.19959666642859,0.9999999980943624
0,200,0.3,0.1,-21.7041801526593,0.006709010638239138
1,200,0.3,0.1,22.921500711729465,0.9949226250516633
2,200,0.3,0.1,68.09521334617142,0.9999998449475624
0,200,0.1,0.0,-22.477025400160088,0.005621461008082769
1,200,0.1,0.0,30.408399833893572,0.9990905792053563
2,200,0.1,0.0,169.167243521527,1.0
0,200,0.1,0.1,-22.02907860055784,0.0062284317143416175
1,200,0.1,0.1,51.80958438000559,0.9999934076736468
2,200,0.1,0.1,252.29783686533455,1.0
0,200,0.1,0.2,-21.856831053358043,0.006478791993112612
1,200,0.1,0.2,16.526449270367667,0.9782330585875417
2,200,0.1,0.2,108.86888090226877,0.9999999999870248
0,50,0.1,0.1,-21.538961173784358,0.006967346542780663
1,50,0.1,0.1,-11.536994906045699,0.0655900502503124
2,50,0.1,0.1,24.178687693216286,0.9961939444015709
0,100,0.1,0.1,-18.501146874742137,0.01392500180011582
1,100,0.1,0.1,-1.0256118961620926,0.4412338933853047
2,100,0.1,0.1,72.59495485541343,0.999999944982039
0,200,0.1,0.1,-22.659708926937657,0.00539115013609848
1,200,0.1,0.1,48.07689028417868,0.9999844294408269
2,200,0.1,0.1,225.0733797583922,1.0
0,200,0.0,0.1,-22.662894909582768,0.005387217939096505
1,200,0.0,0.1,286.0985013255312,1.0
2,200,0.0,0.1,413.8716994149999,1.0
0,200,0.1,0.1,-22.02678441799761,0.0062317022751068735
1,200,0.1,0.1,14.81995886186175,0.9680904948061518
2,200,0.1,0.1,256.0853982904881,1.0
0,200,0.2,0.1,-21.020308152128933,0.007844207207351444
1,200,0.2,0.1,22.58923879322299,0.9945211407948576
2,200,0.2,0.1,111.27045294858483,0.9999999999925363
0,200,0.3,0.1,-21.735850474579458,0.006660588745654363
1,200,0.3,0.1,12.961641358738916,0.9518702487578541
2,200,0.3,0.1,31.905201809561344,0.9993555342513564
0,200,0.1,0.0,-19.883425914003293,0.010167614403255846
1,200,0.1,0.0,64.44255156074243,0.9999996404620914
2,200,0.1,0.0,171.97523303465854,1.0
0,200,0.1,0.1,-22.45948790604643,0.0056440788655845765
1,200,0.1,0.1,3.095719606760987,0.6710230458690657
2,200,0.1,0.1,92.72218912836684,0.9999999994657051
0,200,0.1,0.2,-22.153601070546905,0.0060534495006657274
1,200,0.1,0.2,5.430498422708647,0.7773722921998215
2,200,0.1,0.2,127.74399908017797,0.9999999999998319
0,50,0.1,0.1,-22.430302316313355,0.00568191987115879
1,50,0.1,0.1,-17.999531813106273,0.015603318009365135
2,50,0.1,0.1,-2.4729076189972576,0.3613734319061772
0,100,0.1,0.1,-22.128214681452782,0.006088722070417569
1,100,0.1,0.1,-18.823914639661485,0.012940523872765087
2,100,0.1,0.1,57.94397012415467,0.9999983945296465
0,200,0.1,0.1,-20.898998951952564,0.008064612210118833
1,200,0.1,0.1,8.0579334031221,0.8647607835044175
2,200,0.1,0.1,257.2730889927555,1.0
0,200,0.0,0.1,-21.68705270243592,0.006735342921585077
1,200,0.0,0.1,241.43982001648885,1.0
