nonstationary level,time series length,observation noise,process noise,evidence,significance_level,bayes factor error
0,50,0.1,0.1,-17.699657854299648,-57.879726692622846,nan
1,50,0.1,0.1,-16.630256141583956,-45.02837197527429,nan
2,50,0.1,0.1,29.459533988734236,0.9988674781202216,nan
0,100,0.1,0.1,-18.776598048879094,-74.45009742375501,nan
1,100,0.1,0.1,-14.929833371407069,-30.115969501486063,nan
2,100,0.1,0.1,91.87393064391115,0.9999999993504585,nan
0,200,0.1,0.1,-18.7781553281267,-74.4771569292723,nan
1,200,0.1,0.1,43.901383863648356,0.9999592749511768,nan
2,200,0.1,0.1,170.8707502492661,1.0,nan
0,100,0.0,0.1,-18.806443136486916,-74.97038260991778,nan
1,100,0.0,0.1,58.90378952489418,0.9999987128740464,nan
2,100,0.0,0.1,193.34914302977492,1.0,nan
0,100,0.1,0.1,-18.683153930976328,-72.84403051600954,nan
1,100,0.1,0.1,-9.24762625910162,-7.4093538256041676,nan
2,100,0.1,0.1,99.02613814632596,0.9999999998748629,nan
0,100,0.2,0.1,-18.575218042682025,-71.03139145426806,nan
1,100,0.2,0.1,-17.57001281087748,-56.14803224297801,nan
2,100,0.2,0.1,44.2539016314139,0.9999624500090337,nan
0,100,0.3,0.1,-17.729367655711524,-58.28389993643172,nan
1,100,0.3,0.1,-14.214363778316185,-25.389816952187275,nan
2,100,0.3,0.1,39.21281155109434,0.999880127698168,nan
0,100,0.1,0.0,-18.531380793708315,-70.30797102965327,nan
1,100,0.1,0.0,-17.470429315754117,-54.85254042579644,nan
2,100,0.1,0.0,131.51619685941287,0.9999999999999295,nan
0,100,0.1,0.1,-18.794727018260446,-74.76571077948081,nan
1,100,0.1,0.1,-2.199562877794643,-0.659419876583583,nan
2,100,0.1,0.1,37.548784134756374,0.9998241584163013,nan
0,100,0.1,0.2,-18.59684110009027,-71.39092233263047,nan
1,100,0.1,0.2,-15.664507437421676,-35.85112441438001,nan
2,100,0.1,0.2,84.00900118392862,0.9999999960271709,nan
0,50,0.1,0.1,-18.79982963949334,-74.8547818923417,nan
1,50,0.1,0.1,-8.428098527954544,-5.963215768016735,nan
2,50,0.1,0.1,10.494161457323269,0.9107550081400233,nan
0,100,0.1,0.1,-17.55132140366812,-55.902603889558314,nan
1,100,0.1,0.1,-3.6540934018546745,-1.3195799182234578,nan
2,100,0.1,0.1,101.81372075322896,0.999999999934139,nan
0,200,0.1,0.1,-18.803465068305588,-74.91830563557299,nan
1,200,0.1,0.1,37.52969513714084,0.9998233838203934,nan
2,200,0.1,0.1,243.49186870057108,1.0,nan
0,100,0.0,0.1,-18.80803904266877,-74.99830465070167,nan
1,100,0.0,0.1,78.86919436037974,0.9999999870258007,nan
2,100,0.0,0.1,263.13369563049696,1.0,nan
0,100,0.1,0.1,-18.73459539127876,-73.72390147236314,nan
1,100,0.1,0.1,24.711921134890705,0.9966208467629113,nan
2,100,0.1,0.1,63.55087335120789,0.999999558518342,nan
0,100,0.2,0.1,-18.60351825251616,-71.50230689158136,nan
1,100,0.2,0.1,-8.036169360119679,-5.362340910616382,nan
2,100,0.2,0.1,101.62683877736333,0.9999999999312431,nan
0,100,0.3,0.1,-18.37703304693504,-67.81819930447656,nan
1,100,0.3,0.1,-12.957868196918538,-18.759994514642628,nan
2,100,0.3,0.1,21.279977510380974,0.992552641695445,nan
0,100,0.1,0.0,-12.202332709263054,-15.604785544182768,nan
1,100,0.1,0.0,1.8344278192152075,0.34452336113926807,nan
2,100,0.1,0.0,83.58656225016874,0.9999999956213143,nan
0,100,0.1,0.1,-18.684292461612433,-72.8633917365015,nan
1,100,0.1,0.1,14.907780863934173,0.9676985577708045,nan
2,100,0.1,0.1,95.00085825926996,0.9999999996838347,nan
0,100,0.1,0.2,-18.805790382197316,-74.95896495009457,nan
1,100,0.1,0.2,-5.908724959595467,-2.89827520840274,nan
2,100,0.1,0.2,47.89361068231766,0.9999837580214812,nan
0,50,0.1,0.1,-11.323388825218409,-12.56247287247261,nan
1,50,0.1,0.1,-18.309538657930446,-66.7569526974397,nan
2,50,0.1,0.1,18.56554356136035,0.9860862036061255,nan
0,100,0.1,0.1,-18.251878744231238,-65.86331035853942,nan
1,100,0.1,0.1,-9.933933971885512,-8.849028568617209,nan
2,100,0.1,0.1,33.55649626539335,0.9995590895689674,nan
0,200,0.1,0.1,-18.202458422750716,-65.10675544455167,nan
1,200,0.1,0.1,18.485048418302778,0.9858259109094915,nan
2,200,0.1,0.1,117.2218584850888,0.9999999999981041,nan
0,100,0.0,0.1,-18.8070994524521,-74.98186429913532,nan
1,100,0.0,0.1,91.54013488884287,0.9999999992985665,nan
2,100,0.0,0.1,169.36716935618594,1.0,nan
0,100,0.1,0.1,-18.760527012186287,-74.17141082694042,nan
1,100,0.1,0.1,25.675802778231844,0.9972934271428918,nan
2,100,0.1,0.1,120.30359120452357,0.9999999999990675,nan
0,100,0.2,0.1,-18.253098469375853,-65.88209169650115,nan
1,100,0.2,0.1,-18.72683519543494,-73.59050020441023,nan
2,100,0.2,0.1,74.2873581795769,0.9999999627381698,nan
0,100,0.3,0.1,-18.05930219212347,-62.963205357688665,nan
1,100,0.3,0.1,-13.900725743242525,-23.551191528262873,nan
2,100,0.3,0.1,33.18776960821025,0.9995200201129688,nan
0,100,0.1,0.0,-18.797908228626447,-74.82122955124314,nan
1,100,0.1,0.0,-15.946192651804584,-38.32052113998643,nan
2,100,0.1,0.0,86.4936570536615,0.9999999977580067,nan
0,100,0.1,0.1,-18.361515461679218,-67.57274679010612,nan
1,100,0.1,0.1,32.43097525281207,0.9994286496803106,nan
2,100,0.1,0.1,94.85284007060451,0.9999999996728733,nan
0,100,0.1,0.2,-18.799262968116345,-74.8448849373317,nan
1,100,0.1,0.2,-2.935047928596759,-0.9656436732398572,nan
2,100,0.1,0.2,67.21523538180816,0.9999998101212072,nan
0,50,0.1,0.1,-18.392714092609822,-68.06712991335964,nan
1,50,0.1,0.1,-18.69802949374926,-73.09739659891832,nan
2,50,0.1,0.1,24.181687349519564,0.9961820409583911,nan
0,100,0.1,0.1,-18.800455343210146,-74.865711351537,nan
1,100,0.1,0.1,-5.827141268588783,-2.8257283290748165,nan
2,100,0.1,0.1,52.08682493376135,0.9999938153161151,nan
0,200,0.1,0.1,-18.806143661360558,-74.9651441239428,nan
1,200,0.1,0.1,43.11119438542171,0.9999511482010084,nan
2,200,0.1,0.1,166.6785419847655,1.0,nan
0,100,0.0,0.1,-18.80811917737236,-74.99970696135885,nan
1,100,0.0,0.1,112.8424102172653,0.9999999999948029,nan
2,100,0.0,0.1,81.7228491627496,0.9999999932746471,nan
0,100,0.1,0.1,-18.731577332215977,-73.67199134813731,nan
1,100,0.1,0.1,-16.120003193869245,-39.92609607067835,nan
2,100,0.1,0.1,61.86679198513349,0.9999993493898992,nan
0,100,0.2,0.1,-17.08584601499721,-50.11926507671905,nan
1,100,0.2,0.1,-14.55689233880183,-27.555464817721496,nan
2,100,0.2,0.1,6.64531107418448,0.78349452036609,nan
0,100,0.3,0.1,-18.33330480648193,-67.12875939714482,nan
1,100,0.3,0.1,-7.222471313969833,-4.275299622444226,nan
2,100,0.3,0.1,-0.7882480040213353,-0.19901550834854387,nan
0,100,0.1,0.0,-18.778450189809,-74.48228158038297,nan
1,100,0.1,0.0,-8.848771102633625,-6.671443843451908,nan
2,100,0.1,0.0,156.23274593220833,0.9999999999999998,nan
0,100,0.1,0.1,-18.794836006400594,-74.76761217769412,nan
1,100,0.1,0.1,-2.025068536991594,-0.5940680368608975,nan
2,100,0.1,0.1,81.62572606779906,0.9999999931225507,nan
0,100,0.1,0.2,-18.78637932943302,-74.6202193788995,nan
1,100,0.1,0.2,-3.3054637073870015,-1.1406534776468185,nan
2,100,0.1,0.2,53.45732615235743,0.9999954890565289,nan
0,50,0.1,0.1,-18.53319370226506,-70.33774387321341,nan
1,50,0.1,0.1,-17.86528549239376,-60.168601206883,nan
2,50,0.1,0.1,24.043642103091777,0.9960587336109924,nan
0,100,0.1,0.1,-18.799040563362656,-74.84100097570048,nan
