nonstationary level,time series length,observation noise,process noise,evidence,significance_level,bayes factor error
0,100,0.1,0.1,2.347492281204872,0.41756056503796757,nan
1,100,0.1,0.1,-15.985018531667167,-38.67362218308824,nan
2,100,0.1,0.1,-8.832206674088143,-6.64223991346661,nan
0,200,0.1,0.1,-18.786188299511316,-74.61689320104392,nan
1,200,0.1,0.1,-18.611215331132918,-71.63091796030612,nan
2,200,0.1,0.1,-18.79584421779977,-74.78520361416629,nan
0,400,0.1,0.1,-18.808133721778127,-74.9999614827661,nan
1,400,0.1,0.1,-18.772176856091995,-74.37332700570802,nan
2,400,0.1,0.1,93.40978603982515,0.9999999995439406,nan
0,200,0.0,0.1,8.776257083146783,0.8674516604363739,nan
1,200,0.0,0.1,-18.79122927186195,-74.70471471244778,nan
2,200,0.0,0.1,9.39357700294691,0.885014706072538,nan
0,200,0.1,0.1,-16.907991989314553,-48.06809516921222,nan
1,200,0.1,0.1,-18.727238907477364,-73.59743432034057,nan
2,200,0.1,0.1,-6.295671394231794,-3.261545595287437,nan
0,200,0.2,0.1,-18.71232306473176,-73.3416689179006,nan
1,200,0.2,0.1,-15.732573782743785,-36.43323651518109,nan
2,200,0.2,0.1,11.227905632872552,0.9246281046055401,nan
0,200,0.3,0.1,-18.46134700952057,-69.16728958221752,nan
1,200,0.3,0.1,-14.691291732120531,-28.452975301877274,nan
2,200,0.3,0.1,8.267565050927889,0.8509803651441462,nan
0,200,0.1,0.0,-18.808135921841245,-74.99999998308364,nan
1,200,0.1,0.0,-18.245996443837285,-65.77280867037729,nan
2,200,0.1,0.0,-17.170849233163366,-51.12966371321789,nan
0,200,0.1,0.1,-16.507324543796493,-43.74375768758972,nan
1,200,0.1,0.1,-18.794522558322463,-74.76214391678057,nan
2,200,0.1,0.1,21.72284576520827,0.9932746417506733,nan
0,200,0.1,0.2,-16.081146278020665,-39.56155796060306,nan
1,200,0.1,0.2,-15.178887188788547,-31.9525265699343,nan
2,200,0.1,0.2,-7.520558559596061,-4.650096377805107,nan
0,100,0.1,0.1,-1.8548972458438966,-0.5328149395036013,nan
1,100,0.1,0.1,-18.511081763711942,-69.9754535368568,nan
2,100,0.1,0.1,-17.92843964058967,-61.06460047265829,nan
0,200,0.1,0.1,22.13298973881454,0.9938807101305772,nan
1,200,0.1,0.1,-17.479851348049586,-54.97384422290709,nan
