# nonstationary level, time series length, observation noise, process noise, evidence, significance_level, bayes factor error
0, 50, 0.1, 0.10, -1.3487,-0.3642,0.0000
1, 50, 0.1, 0.10, -2.8536,-0.9291,0.0104
2, 50, 0.1, 0.10, 2.1312,0.3878,0.0004
0, 100, 0.1, 0.10, -0.9909,-0.2563,1.4110
1, 100, 0.1, 0.10, 6.1172,0.7555,0.1416
2, 100, 0.1, 0.10, 24.0445,0.9961,2.5547
0, 200, 0.1, 0.10, 14.1843,0.9618,0.4508
1, 200, 0.1, 0.10, -5.0442,-2.1946,0.0564
2, 200, 0.1, 0.10, 23.9890,0.9960,43.6000
0, 100, 0.0, 0.10, 0.4724,0.1031,0.0002
1, 100, 0.0, 0.10, 1.1633,0.2350,0.0001
2, 100, 0.0, 0.10, -1.0272,-0.2668,0.2543
0, 100, 0.1, 0.10, -4.0593,-1.5464,0.0135
1, 100, 0.1, 0.10, -3.6136,-1.2981,0.1270
2, 100, 0.1, 0.10, 14.8381,0.9672,4.0671
0, 100, 0.2, 0.10, -3.6902,-1.3389,0.1799
1, 100, 0.2, 0.10, -0.1675,-0.0393,0.0310
2, 100, 0.2, 0.10, 4.4638,0.6422,0.0013
0, 100, 0.3, 0.10, 0.4450,0.0974,0.0011
1, 100, 0.3, 0.10, -1.9560,-0.5689,0.0021
2, 100, 0.3, 0.10, 0.2609,0.0583,0.0643
0, 100, 0.1, 0.00, -5.3741,-2.4468,0.0005
1, 100, 0.1, 0.00, -3.6954,-1.3418,0.0004
2, 100, 0.1, 0.00, -2.7579,-0.8871,0.0000
0, 100, 0.1, 0.10, -2.2969,-0.6970,1.4230
1, 100, 0.1, 0.10, -4.1809,-1.6187,4.6543
2, 100, 0.1, 0.10, 1.5669,0.3029,1.4224
0, 100, 0.1, 0.20, -0.2973,-0.0709,0.0956
1, 100, 0.1, 0.20, 3.7054,0.5740,1.4570
2, 100, 0.1, 0.20, 2.0168,0.3715,0.1734
0, 50, 0.1, 0.10, 0.6275,0.1345,0.0150
1, 50, 0.1, 0.10, -1.3262,-0.3571,0.0036
2, 50, 0.1, 0.10, -1.3012,-0.3493,0.0000
0, 100, 0.1, 0.10, -3.3113,-1.1436,0.0463
1, 100, 0.1, 0.10, 10.4328,0.9095,0.0044
2, 100, 0.1, 0.10, 8.8311,0.8691,3.9466
0, 200, 0.1, 0.10, 0.3329,0.0738,21.8673
1, 200, 0.1, 0.10, -2.6767,-0.8521,0.0577
2, 200, 0.1, 0.10, 9.1021,0.8770,4.0938
0, 100, 0.0, 0.10, -1.7979,-0.5128,0.0011
1, 100, 0.0, 0.10, -3.4216,-1.1986,0.0389
2, 100, 0.0, 0.10, -2.1271,-0.6320,0.7172
0, 100, 0.1, 0.10, -2.4977,-0.7774,0.1037
1, 100, 0.1, 0.10, -0.4086,-0.0987,0.0138
2, 100, 0.1, 0.10, 0.4097,0.0900,0.5461
0, 100, 0.2, 0.10, -3.3329,-1.1542,0.0550
1, 100, 0.2, 0.10, 4.2698,0.6259,0.0100
2, 100, 0.2, 0.10, -1.0743,-0.2806,0.0046
0, 100, 0.3, 0.10, 1.9605,0.3633,0.0007
1, 100, 0.3, 0.10, -1.7980,-0.5129,0.0008
2, 100, 0.3, 0.10, -1.7561,-0.4983,0.0011
0, 100, 0.1, 0.00, -4.7719,-2.0005,0.0000
1, 100, 0.1, 0.00, -4.2948,-1.6883,0.0000
2, 100, 0.1, 0.00, -3.3760,-1.1757,0.0000
0, 100, 0.1, 0.10, -3.7307,-1.3609,4.6992
1, 100, 0.1, 0.10, 0.7473,0.1581,0.0002
2, 100, 0.1, 0.10, 25.6761,0.9973,0.1873
0, 100, 0.1, 0.20, 6.4092,0.7714,0.0444
1, 100, 0.1, 0.20, -2.8826,-0.9420,0.4207
2, 100, 0.1, 0.20, 0.8946,0.1862,0.0050
