# delta, theta, r squared
0.0000,0.0000,0.9857
0.0449,0.0000,0.9861
0.1226,0.0000,0.9866
0.0000,0.0000,0.9895
0.0000,0.0000,0.9856
0.0000,0.0000,0.9863
0.0000,0.0000,0.9895
0.0000,0.0000,0.9854
0.0000,0.0000,0.9863
0.0000,0.0000,0.9845
0.0000,0.0000,0.9883
0.0894,0.0000,0.9855
0.0000,0.0000,0.9887
0.1673,0.0000,0.9880
0.0000,0.0000,0.9871
0.0000,0.0000,0.9878
0.1448,0.0000,0.9879
0.0000,0.0000,0.9867
0.0000,0.0000,0.9881
0.0000,0.0000,0.9876
0.0000,0.0000,0.9872
0.0000,0.0000,0.9867
0.0000,0.0000,0.9873
0.0000,0.0000,0.9897
0.0000,0.0000,0.9871
0.0858,0.0000,0.9865
0.0000,0.0000,0.9851
0.0000,0.0000,0.9901
0.2880,0.0000,0.9868
0.0000,0.0000,0.9856
0.0000,0.0000,0.9882
0.0000,0.0000,0.9898
0.0000,0.0000,0.9860
0.0000,0.0000,0.9870
0.0000,0.0000,0.9889
0.0000,0.0000,0.9887
0.0000,0.0000,0.9897
0.3800,0.0000,0.9843
0.2631,0.0000,0.9885
0.0447,0.0000,0.9873
0.0000,0.0000,0.9894
0.0000,0.0000,0.9872
0.0000,0.0000,0.9862
0.0000,0.0000,0.9870
0.0000,0.0000,0.9908
0.0000,0.0000,0.9858
0.0000,0.0000,0.9871
0.0000,0.0000,0.9866
0.0000,0.0000,0.9894
0.0000,0.0000,0.9895
0.0000,0.0000,0.9869
0.0000,0.0000,0.9894
0.0000,0.0000,0.9873
0.1517,0.0000,0.9878
0.0000,0.0000,0.9877
0.0000,0.0000,0.9885
0.0000,0.0000,0.9871
0.0000,0.0000,0.9884
0.0135,0.0000,0.9877
0.0000,0.0000,0.9874
0.0000,0.0000,0.9870
0.0000,0.0000,0.9877
0.0000,0.0000,0.9857
0.0000,0.0000,0.9881
0.0000,0.0000,0.9875
0.0000,0.0000,0.9895
0.0000,0.0000,0.9888
1.1241,0.0000,0.9882
0.0000,0.0000,0.9867
0.0000,0.0000,0.9875
0.0000,0.0000,0.9879
0.6729,0.0000,0.9875
0.0857,0.0000,0.9870
0.0000,0.0000,0.9861
0.2179,0.0000,0.9846
0.0000,0.0000,0.9877
0.2192,0.0000,0.9887
0.0000,0.0000,0.9879
0.0000,0.0000,0.9872
0.0000,0.0000,0.9848
0.0000,0.0000,0.9874
0.1490,0.0000,0.9866
0.0000,0.0000,0.9872
0.0000,0.0000,0.9861
0.0000,0.0000,0.9890
0.0000,0.0000,0.9855
0.0000,0.0000,0.9886
0.0000,0.0000,0.9872
0.0000,0.0000,0.9883
0.2066,0.0000,0.9889
0.1130,0.0000,0.9890
0.0000,0.0000,0.9863
0.0000,0.0000,0.9876
0.0000,0.0000,0.9879
0.0000,0.0000,0.9893
0.0000,0.0000,0.9876
1.3446,0.0000,0.9895
0.0000,0.0000,0.9855
0.0000,0.0000,0.9853
0.2676,0.0000,0.9853
