length,start,evidence,significance_level,posterior_weighted_theta,posterior_weighted_delta
96,0,-7.36585681417266,0.15498170376519319,9.211871092363687e-05,5.424359460801499
96,12,-8.922536801327487,0.11359947504390225,0.0007849779888256374,5.829996923534429
96,24,-12.10600413262971,0.058002830148304985,4.377083906892051e-05,3.866122625421157
96,36,-18.64104047655502,0.013489555520923546,1.4940946776077588e-10,0.05105683477635893
96,48,-17.49985637726813,0.017472659216661728,0.3757731540848316,0.4988824845465719
96,60,-7.558117994506422,0.14927216837492413,0.09385731017634516,3.3001479344686415
96,72,-17.170847819660576,0.01882188309609672,0.6772683205675041,0.5926169101096598
96,84,-18.013828914289068,0.015552833470497855,1.0856385524654082,0.2596395180331327
96,96,-18.192299134541415,0.014936007768316287,1.0546468498918293,0.1996580375805914
96,108,-18.603310383108138,0.013605657507973433,3.066534284267572,0.06553287315923449
96,120,-17.50146307744185,0.01746630917383159,3.675359142227804,0.41359033577152715
96,132,-17.21635389273598,0.018629348903015458,3.674737763574072,0.48580389650560296
96,144,-15.160724073997907,0.029572674927283348,4.247660705313099,1.1040467530538394
96,156,-8.93172110580595,0.1133867035749228,6.512483292633185,12.294990163256335
96,168,-7.592113778291388,0.14828084048403098,22.507850802771124,15.266051843845498
96,180,-7.339566033690891,0.15577616445039277,22.70790855463172,15.870188578660304
96,192,-9.020036468385136,0.11135840246578149,22.707892835465856,14.331758799111938
96,204,-9.175115716396656,0.10787352183009173,22.70791822350919,15.424798058785507
96,216,-8.912596838043306,0.11383014490752107,22.707994198536547,16.35318391005108
96,228,-7.38403692947821,0.15443427018080425,22.70794921682604,14.734623508031563
96,240,-4.388135817801773,0.26690047934059913,23.53328544508578,22.504379633276926
96,252,-4.698341335954444,0.2531592815333689,22.707896288427385,21.19547899284606
96,264,-12.861546705996552,0.04919670403942265,20.68357986847091,12.841400810676923
96,276,-17.639280579449338,0.01692997804255378,0.27502493468316613,0.4403498594987668
96,288,-18.710132652515338,0.013279474735477623,8.134628067793303e-08,0.02990578879900583
96,300,-18.758772521029133,0.01313352018079178,4.626533314923404e-07,0.015038544350597805
96,312,-18.77733567939155,0.013078235653151318,4.3019255087189553e-05,0.009396214228207255
96,324,-18.321625731871446,0.01450414815878265,0.0516879016947873,0.15499446413901105
96,336,-17.50023060365146,0.017471179986734524,0.41151046310311523,0.4527596458562737
96,348,-8.436959305701322,0.12535354231487336,10.540688423438473,2.932636580113513
96,360,-14.355612048979687,0.03538292566542371,3.4351104877034913,2.494689519303578
96,372,-14.072805842549707,0.03767399181634857,22.722536792148865,3.822110195529722
96,384,-9.69135075674792,0.09695582777894138,22.723927452436914,14.268979672754028
96,396,-7.652381051675069,0.1465367974642245,22.70795762361484,17.023093940827003
96,408,-8.121262531353853,0.1335429022883478,22.70795599233628,15.754114886865281
96,420,-6.570028779796553,0.1805234594150403,22.707955997643875,17.26344913143876
96,432,-6.570028684715739,0.18052346265380023,22.70795591981478,17.26344922029695
96,444,-4.05064040704344,0.2823783945997451,22.70795599233636,22.70795599233636
96,456,-4.05064040704344,0.2823783945997451,22.707955992336352,22.707955992336352
120,0,-5.517747284934633,0.2191702579988027,8.151612518680748e-05,8.594362354031158
120,12,-16.038720969645627,0.024291153897986844,8.597995545748716e-06,1.159232236992754
120,24,-18.119876203339015,0.01518335546840753,8.708294473070723e-10,0.22554737854929402
120,36,-18.77065742858568,0.013098098226484646,0.0006372451132566268,0.011396315963960133
120,48,-17.322320755050672,0.018188465246008815,0.13297660983116796,0.4575287883871843
120,60,-13.67792582706852,0.041112607841339195,0.961874570417867,2.4569756056531333
120,72,-16.263551221451916,0.02309392173315276,1.0540105108284301,1.006850339117501
120,84,-18.398672803322725,0.014252737912665247,1.3352176298506842,0.15027881796634
120,96,-17.88198084294731,0.016024562204998958,1.687251651331111,0.30921402427279515
120,108,-13.38736013926743,0.04383266623797745,3.181251973953643,1.5680783438293022
120,120,-13.033774907871994,0.047374507526080245,3.9544039167732348,1.615494968101775
120,132,-16.30201973439181,0.02289492862379858,3.8597311921411426,0.7753335374741328
