length,start,evidence,significance_level,posterior_weighted_theta,posterior_weighted_delta
96,0,-17.162100354510564,0.01885911624789334,3.2961036610651676e-13,0.6240277480634772
96,12,-15.274177889763434,0.0288321164198251,1.194701006917624e-12,1.3697238881434048
96,24,-15.630906283205086,0.02661902984123927,1.9567251016831752e-17,1.864649996855058
96,36,-18.323491732744802,0.014498007938264465,1.0933324963704279e-17,0.1805308964581867
96,48,-18.801882418653744,0.013005483368218898,4.873527993396759e-17,0.0018946578619174752
96,60,-15.903901459474948,0.025037882410507386,2.553472298944719e-17,1.1607501647097733
96,72,-17.175967499438137,0.018800124890125725,9.097330497022073e-20,0.580441780276525
96,84,-16.932545430229876,0.019862435106958246,6.905239564450188e-18,0.6717731893854408
96,96,-17.15594303533038,0.01888536788234713,2.515649178863689e-17,0.5800481019940722
96,108,-16.880600999013456,0.02009662612711924,5.2748213121705545e-15,0.7063068112181058
96,120,-18.469874558124555,0.01402422238963064,4.525454148961075e-12,0.10735993727935406
96,132,-1.178085628687707,0.43259675215371507,3.72786239201281e-14,2.544051224257886
96,144,-18.807382166873637,0.012989237911543695,6.223367918641097e-12,0.00023158078517745788
96,156,-18.73850452271656,0.013194145383732361,1.438791346943047e-10,0.02176263614122837
96,168,-17.383501580301107,0.017938597461289618,2.215205628216521e-15,0.5078786691074254
96,180,-16.860017385959708,0.02019017355020315,2.009375411314952e-15,0.7299128811287738
96,192,-16.30084735532304,0.02290096839159093,3.780072180413896e-16,0.9381543442722575
96,204,-18.67920054578531,0.013373124469967452,4.0241956296844377e-16,0.04100141401155896
96,216,-18.129533224428084,0.015150142025778583,8.078153045662252e-17,0.21260680359178177
96,228,-18.802567560971845,0.013003458464613345,1.6811644575868762e-13,0.0017210728488628057
96,240,-18.805414513330863,0.012995047772115595,4.132051726068151e-16,0.0008667677371257817
96,252,-18.401320498109442,0.014244175051902097,3.5030052341822694e-16,0.1279415791400815
96,264,-18.703605556954972,0.013299182095050646,2.0617824175726543e-19,0.031890629020840486
96,276,-18.716543611056945,0.013260146076883186,5.574247049104439e-18,0.027929482711904603
96,288,-18.718262890482578,0.013254967273168378,9.200820125138682e-16,0.02792186321061291
96,300,-18.750080006299285,0.013159487309957281,1.9141583200442838e-10,0.01822287418320102
96,312,-18.219220836190356,0.014845076788911418,4.5680793640647064e-11,0.17982467523826323
