length,start,evidence,significance_level,posterior_weighted_theta,posterior_weighted_delta
96,0,-16.571980676005786,0.0215448199570354,1.2646772150555723e-19,0.7541847722103694
96,12,-16.98458381213115,0.019630502166720232,1.2606862271873867e-22,0.6578984417435483
96,24,-14.825984329147989,0.03186667397601556,3.820533734594575e-20,1.876195862285066
96,36,-16.743764111663562,0.020726575728802227,4.9202057013738605e-18,0.6139691391764331
96,48,-18.793636104694144,0.013029879357751212,6.6155684205818575e-19,0.004570186168289426
96,60,-15.762102841331691,0.025847391076145195,1.0426533785940491e-17,1.998692630246513
96,72,-17.809898353314587,0.016288382711590103,7.862659148647368e-21,0.33391009618645767
96,84,-16.199393821117702,0.023429563136625416,1.1939239958648624e-19,0.887304431715419
96,96,-16.371858503252025,0.022537931915689664,9.588776111406268e-18,0.8378058806733018
96,108,-18.43674694993489,0.014130089632978264,4.421654018770384e-15,0.13557086577167746
96,120,-18.553945850375538,0.01375904991033339,2.7436908306633305e-12,0.07987743663208494
96,132,-18.806959625619527,0.012990485326490565,3.2019222536108906e-14,0.0003579406185485436
96,144,-18.804904529784054,0.01299655401116483,6.714531327351103e-14,0.000991095210056078
96,156,-18.16420071661742,0.015031498255275662,7.856570306758946e-23,0.20130263635635384
96,168,-18.310777408466357,0.014539896188928985,2.4112415987133353e-22,0.1541156504347609
96,180,-18.24862272444747,0.01474639156544275,2.3673067626297155e-22,0.1739498897338618
96,192,-18.423535159482395,0.014172530471386861,3.0201535531152205e-21,0.11980341492057386
96,204,-17.022878607924042,0.019461521054420318,2.1178831938798588e-16,0.5960630090291871
96,216,-18.705671576474373,0.013292941011740644,6.4451549161300126e-15,0.031046834717050664
96,228,-18.78094899989444,0.013067501244384817,1.991829962347652e-15,0.008248288265638174
96,240,-18.65309721870925,0.01345266128389565,1.2464592043956653e-14,0.047127014768486
96,252,-18.290092055625866,0.01460830050508375,2.810540400149463e-15,0.16183376459718182
96,264,-18.602741215849672,0.01360741645754745,2.742540866465832e-20,0.0626572377497431
96,276,-18.740862994251103,0.013187076603121234,5.85057856694387e-25,0.020394056825784795
96,288,-17.340968449181776,0.018111946683056556,5.847647295330633e-19,0.4783703246933796
96,300,-15.252424339915846,0.028972702369660187,5.997192341325285e-14,1.124708357329204
96,312,-18.267918490407517,0.014681978277447851,2.9120086332730035e-14,0.1757455959928817
96,324,-16.008376420333178,0.024457307177178627,5.474580178341665e-11,1.3254302020561242
96,336,-15.242298226937018,0.029038370693923503,2.6071454213530047e-18,1.5409186983082765
96,348,-17.61069307653981,0.017039882260906015,1.3315686663696166e-18,0.5725991100168488
96,360,-16.615933271713025,0.021332504078884363,1.7342884085014038e-20,0.8420879856744685
96,372,-12.818253690759875,0.04966509947968099,2.5255778290208667e-18,1.8926392236252343
96,384,-6.591195282546744,0.17980358221909554,4.485648827784508e-14,2.453510281540728
96,396,-18.34208495663644,0.01443696522945475,5.372252645507141e-19,0.14999436832764224
96,408,-15.775991905573918,0.02576698775968635,3.0024560391584964e-21,1.0239257297874929
96,420,-16.61540104994143,0.02133506272841498,1.0282247028435245e-18,0.8227361951616741
96,432,-16.593606456686338,0.021440098198227946,2.4591503272004314e-14,0.8331581849669699
96,444,-15.932825104977875,0.024875820535219095,8.627866589631591e-17,1.2175786535010258
96,456,-13.056235425494553,0.04714165231634994,1.0432220187771594e-17,3.125923626225821
120,0,-14.925158393264741,0.031169647931499428,1.336461905047848e-27,1.5556295440734582
120,12,-18.17681669400659,0.014988549607544375,1.8561364653226312e-24,0.20049354567257932
120,24,-18.807297653688572,0.012989487399642466,2.506032244127098e-24,0.00025473154486360206
120,36,-18.700185623267927,0.01330951946960652,2.854589859319639e-23,0.03271031551289032
120,48,-18.779916391746216,0.013070568016590444,5.548896512292777e-25,0.008643923611464271
120,60,-14.384791346811374,0.03515432158733801,1.0230557513626635e-27,1.7973540657167875
120,72,-14.604534975224182,0.03347790622397553,1.0029625926602818e-24,1.7262196340914235
120,84,-18.447142567992202,0.014096783399158075,3.4386147197782593e-25,0.12511001834063779
120,96,-18.332991775508717,0.014466787001372664,5.132333795999751e-19,0.15057207239273362
120,108,-18.801919759447948,0.013005373001365988,6.652559030488954e-19,0.0018850850594758477
120,120,-18.80196034075793,0.013005253057684275,1.2923182924654608e-17,0.001878387810419851
120,132,-18.792482998600327,0.013033294316874732,5.166343791924204e-26,0.004794739577405005
