length,start,evidence,significance_level,posterior_weighted_theta,posterior_weighted_delta
96,0,-4.028353630640602,0.28341945095629617,20.8761565245192,20.8761565245192
96,12,-4.028353630640602,0.28341945095629617,20.876156524519196,20.876156524519196
528,0,-6.83902860486624,0.1715410727507154,20.876156524520407,9.225895982278836
528,12,-6.760621858442154,0.17412202140417413,20.876156524523466,9.621743838585337
528,24,-6.810891430844168,0.1724637693544969,20.876156524523623,9.458119911774293
552,0,-6.793129582453634,0.1730482502049584,20.876156524516485,9.440143926764865
528,0,-12.382785872383284,0.05461716165801263,6.054770103685108,3.8918447274000343
528,12,-12.366973952661716,0.05480545781547393,6.054770103685108,3.8754116003821304
528,24,-12.421004521027596,0.05416454951722419,6.054770103685108,3.8046288422780266
552,0,-12.384727405919012,0.05459408297855875,6.054770103685109,3.878956753611191
