length,start,evidence,significance_level,posterior_weighted_theta,posterior_weighted_delta
96,0,-4.0283536306406,0.2834194509562962,20.8761565245192,20.8761565245192
96,12,-4.028353630640602,0.28341945095629617,20.876156524519196,20.876156524519196
96,24,-4.028353630640601,0.2834194509562962,20.8761565245192,20.8761565245192
528,0,-8.988890113433568,0.11207007933132745,0.9401197078182999,0.11613504009363063
528,12,-8.97940810242584,0.11228752578676726,0.9615783025696899,0.14506299701035263
528,24,-8.979530244045558,0.11228472242940865,0.9609496341712205,0.14489254818508926
552,0,-8.978479138073238,0.11230884909524445,0.9584901093437125,0.1655656700493517
528,0,-13.134521449897392,0.046338513621055205,4.926519852247346,3.726216863395406
528,12,-13.106952130896207,0.04661985209403123,4.978603044956111,3.717049306125475
528,24,-13.140532307197759,0.046277389056768536,4.978020379396373,3.6544880430603115
552,0,-13.06458340576844,0.047055383819288976,4.952445384580029,3.7549433548424687
