length,start,evidence,significance_level,posterior_weighted_theta,posterior_weighted_delta
96,0,-4.0283536306406,0.2834194509562962,20.8761565245192,20.8761565245192
96,12,-4.028353630640602,0.28341945095629617,20.8761565245192,20.8761565245192
528,0,-7.667846561020077,0.14609199759601943,11.573138865375796,6.001808771647303
528,12,-7.563153377586174,0.14912499099412369,11.868117092886672,6.471535148810636
528,24,-5.015017584403708,0.239622459741862,20.847893023729192,10.849263041250094
552,0,-4.589887685557452,0.2579098366331585,21.104317633941516,17.228843949576437
528,0,6.585237325151643,0.8199940133407089,2.7612034239568246e-32,3.104251289639308
528,12,5.932612308108932,0.7967387063442283,2.1095721418186837e-31,3.100952349045896
528,24,55.67622234605977,0.9999972936959338,2.3676312937805425e-23,3.1250050597780525
552,0,59.614460304580376,0.9999989071677697,4.491636289755116e-25,3.1252668525225915
