length,start,evidence,significance_level,posterior_weighted_theta,posterior_weighted_delta
96,0,-15.1630831577395,0.029557090110602452,1.9799884249978925e-10,2.0095479476883473
96,12,-17.511739937311265,0.01742574628237771,6.796534385506286e-11,0.43918083347685416
96,24,-18.463405998608245,0.014044832612718355,2.6696422094119646e-11,0.14012070569694826
96,36,-18.673972412451526,0.013389017350138081,2.0483323642793674e-11,0.04730862318523475
96,48,-18.505710711804028,0.01391057967672314,2.6945398994368096e-09,0.10601815537595809
96,60,-18.377574099111072,0.014321154368033183,4.750734370168186e-10,0.1427991000502643
96,72,-15.932487410557028,0.024877706757885854,1.5995324503596233e-09,1.0115683412162708
96,84,-16.04178567505292,0.02427443425395195,5.907169349704639e-06,0.9267328243691723
96,96,-16.151720740227628,0.02368204501333125,1.61572415093376e-05,0.9278282427238356
96,108,-16.56067576220229,0.021599762370271832,3.705385719521362e-05,0.8248133781354245
96,120,-17.67148725049204,0.01680699439687964,0.00011078572296994483,0.3978303904631351
96,132,-18.391431032832692,0.014276184310676066,2.7777837538693735e-05,0.13760342882270185
96,144,-17.157400761051647,0.01887914965529545,2.485190057053455e-08,0.5836808548630996
96,156,-14.500636406614975,0.0342607024634974,2.0912239705105882e-08,1.3774305965856726
96,168,-16.088792957491908,0.024019385681149332,3.1418229063604095e-08,0.8645142047351446
96,180,-17.639853705520686,0.016927781806506486,3.7028943622922586e-08,0.38296410481048476
96,192,-13.669932330800563,0.04118522879420756,6.671914602157215e-08,2.557970202144277
96,204,-16.996762030893407,0.019576608744150455,2.137926538078084e-06,0.6937164701713018
96,216,-18.432656705936484,0.014143215505416471,0.00010753226860215926,0.13880689725757708
96,228,-18.76002711088163,0.013129776524901991,7.503365880332701e-05,0.0166679846561241
96,240,-14.012323904710954,0.03818215530984129,7.937984122565921e-07,4.776981297848413
96,252,-16.85422514326488,0.020216574662473955,1.9903525043507465e-09,0.9143708427312325
96,264,0.6601751277676711,0.5379297254341733,4.081422781969178e-07,7.106776952259555
96,276,-15.152293640624716,0.029628434039531935,1.475427992375372e-09,2.6121390198818055
96,288,-16.311989784215687,0.02284362855207724,9.11726518511589e-07,1.0337516098692772
96,300,-17.547587997721664,0.017284976589445045,2.4716669698516394e-06,0.5387635519982988
96,312,-14.826780634126145,0.03186101771100072,0.04347965154103803,2.06123371303792
96,324,-18.764263365086457,0.013117143456572566,4.389987355609873e-07,0.013363368459782251
96,336,-18.549567467878585,0.013772737083916844,0.00023362505547731033,0.11374393165161832
96,348,-18.53590205763321,0.013815542647863596,1.2710193801970275e-06,0.10162459765590001
96,360,-18.52411769181642,0.013852561338604482,1.1211911082194317e-05,0.10054749533649572
96,372,-17.154858123689834,0.018889997098471438,1.1483554209406833e-08,0.6212211783801337
96,384,-15.948285001277549,0.02478961696932924,6.298496651567108e-09,1.1516351073930828
96,396,-16.41833185553392,0.022303392269921868,5.986799786359226e-08,0.9536434998784545
96,408,-15.925598711676233,0.024916214641398673,9.841633959978264e-08,1.0848599025735497
96,420,-14.207380649245122,0.03656652311787593,8.737038137895895e-06,2.424365136490796
96,432,-15.149155013190668,0.029649219031161377,4.418674234384937e-05,1.9935522128975254
96,444,-15.315229726330577,0.028568613180040815,3.25354919884605e-05,2.234901794083172
96,456,-12.57213636240376,0.05240916213479262,2.044362385517087,3.921931559123109
120,0,-17.835772297877945,0.016193196714512963,5.58178519310622e-11,0.40106389458470676
120,12,-18.21990608348512,0.01484276942150212,7.441601875808695e-12,0.21638294482916087
120,24,-18.70817310781773,0.01328538819053413,1.6552194105180448e-10,0.03399630444262875
120,36,-18.4836143056803,0.013980543467720869,2.6229630866399657e-10,0.11588269086210912
120,48,-16.7657801872647,0.02062393202783719,4.041067858893619e-10,0.7818509703990907
120,60,-17.59695700558254,0.017092939450662755,4.820616416189957e-10,0.3929818859326214
120,72,-13.3626275522759,0.04407196780145166,6.3395976375425966e-12,1.8486927121531587
120,84,-14.512553284911496,0.034170029162581494,1.9511967264924428e-10,1.4650872538528272
120,96,-14.24623974172859,0.03625260692338064,3.7491417966906426e-07,1.6464279266888924
120,108,-15.590387116729797,0.026861842011257978,5.1698779155584174e-08,1.2107603546833294
120,120,-17.47229906876834,0.01758192556553379,1.6967818918166503e-07,0.4736202016578101
120,132,-18.133803353825478,0.015135478566673825,8.978979241278725e-07,0.2291412296912755
120,144,-13.73683903368011,0.04058114942030519,7.431759943277398e-09,1.7365220442639067
120,156,-9.024930825854053,0.11124692918429904,8.780170603145303e-09,2.6685287242512277
120,168,-14.04459500532699,0.03791020287023799,6.414418046546128e-08,1.5935875918697813
120,180,-17.008264998376116,0.019525836755480534,1.2928814313908201e-08,0.608558499048442
120,192,-13.834714541123446,0.03971272775968116,1.4564566988418263e-09,2.3223239584194046
120,204,-18.80732187058897,0.012989415909385816,6.0869793081070635e-06,0.0002609033621156191
120,216,-10.778469267915646,0.07714151811042373,2.1023698359041067e-10,3.2243030469886262
120,228,-18.522373556573694,0.01385804856112752,1.9664244050879337e-11,0.10767396966251294
120,240,3.6172724428995977,0.6969694092049344,1.1925441091316388e-09,10.584953130005003
120,252,-12.482562709525737,0.053442961735978636,1.1399878539700073e-11,3.433846060463692
120,264,-12.889462399039342,0.04889690332076527,1.900239149928434e-08,2.2598942330889478
120,276,-14.240156369404746,0.03630157856698065,2.2128732440138122e-08,1.6963750285725165
120,288,-15.876782044434542,0.025190769182504465,3.897504735454883e-08,1.191387629554483
120,300,-18.723147805772573,0.013240263845726193,3.9264605523108147e-10,0.025876336003262192
120,312,-18.1969621145887,0.014920218861786275,8.317739911930055e-06,0.21129984733054272
120,324,-18.273964444118377,0.014661852710762273,2.463831960712782e-08,0.18676336914059943
120,336,-18.484613764060196,0.013977371407918878,9.416784749627835e-07,0.11670752396517294
120,348,-15.792390845139153,0.025672368306157392,4.5551115819082325e-10,1.1259445827092094
120,360,-16.05894929471013,0.024181004531811007,3.1714754148982206e-09,1.0729375510617842
120,372,-16.653882901310823,0.021150833440184917,2.6095636311228527e-09,0.917597683674525
120,384,-15.559299920216054,0.02704959161514207,1.3030371150104979e-08,1.5119164558038813
120,396,-15.74075850908104,0.025971428953333327,6.941591053913393e-08,1.3265735224159656
120,408,-14.718050872633393,0.032642391160970265,1.32833030671554e-07,1.8103582568235548
120,420,-13.747661922243072,0.04048423368334898,6.2061718539164865e-06,3.2877942414541645
120,432,-16.68819947524931,0.02098785863311393,7.723015482507265e-06,0.9228016662825449
144,0,-18.261230344547233,0.014704273255610257,2.0201304988442548e-11,0.19509918075061947
144,12,-17.79452930687903,0.016345183187998182,4.760907901785968e-12,0.4028715607656525
144,24,-18.344218822431813,0.014429975835848865,9.23279991130555e-11,0.16905925849886952
144,36,-17.75845849910635,0.016479258760724955,1.2291166363498455e-10,0.36405334914232296
144,48,-14.526066770972953,0.03406748764954722,5.02467467284858e-12,1.6050331071394561
144,60,-16.475465455065027,0.022018319740518412,8.966282126902312e-13,0.7800760074785928
144,72,-9.854730183094777,0.09371160978698169,3.6002043894305113e-13,2.864569869628952
144,84,-12.114937231943639,0.05789054512857187,1.530717249965477e-12,2.251761889324689
144,96,-11.435841868126298,0.06703205527461895,9.154706754758348e-10,2.547967148276772
144,108,-13.096947279279744,0.046722350469295106,3.72610863611873e-09,2.179540873640582
144,120,-17.043981981085075,0.019369009661500364,1.546994699073453e-07,0.6671066100695267
144,132,-17.814990607716165,0.016269605753021048,1.2473617783596724e-06,0.3503795650103219
144,144,-10.8314601016614,0.07627734774551963,2.8320196958198237e-10,2.709617284380196
144,156,-5.071576703010869,0.23725763573568664,1.4789384649231057e-09,3.6869843891740013
144,168,-13.688853781931691,0.041013525603778835,1.1513367826070945e-07,1.8634029454174397
144,180,-15.307849241862302,0.02861581403046722,9.256807894860356e-10,1.0284985016751804
144,192,-16.75572190370179,0.020670764034125207,1.7757886207215452e-10,0.6819831923341834
144,204,-18.789825140854223,0.0130411690085989,2.91470701400995e-11,0.005618561741467028
144,216,-12.042898962120614,0.05880187278075281,2.2910990310125396e-10,8.006842155682868
144,228,-14.398298642629117,0.03504898168769478,2.2924373026667392e-14,1.7763558370183272
144,240,-9.472159619151546,0.1014655829502883,4.1277833191853304e-10,3.380312667539055
144,252,-10.600796185417545,0.0801048328720449,3.5172046568894075e-10,2.8802105505056286
144,264,-12.945645446802274,0.04829877158612449,5.822197379817113e-10,2.39654712683834
144,276,-18.36429102965328,0.014364393091659877,2.299651050525156e-12,0.13664273982556047
144,288,-18.152049601546672,0.015072978932944387,4.420832574393818e-09,0.2114565703274005
144,300,-18.151644920895908,0.015074362342901021,6.194815017274882e-11,0.2147839999390172
144,312,-17.959929446053568,0.01574400161371688,1.1193307669520994e-07,0.2981508603592348
144,324,-15.403719367701335,0.028008542599031634,7.245005811753226e-11,1.3984772496461202
144,336,-14.641316502398036,0.03320494536491734,3.0827327069143795e-11,1.714970407142147
144,348,-14.380380436828627,0.035188787160968044,4.0906598547280276e-11,1.7723805813197748
144,360,-15.173481638780258,0.029488489475101246,3.20662511503029e-09,1.5171938561362561
144,372,-16.216945682603,0.023337269792957693,1.209386056114603e-09,1.2313165999611675
144,384,-14.68893150245904,0.032854778245482094,1.5389495896649492e-08,2.2237759291501034
144,396,-14.940498966024471,0.031063155724417098,4.1671171680330095e-08,1.860544880484197
144,408,-15.4914613106146,0.027463739538486964,5.90867087355735e-08,1.4194420420576646
168,0,-17.663728224440764,0.016836542301697448,7.218400834895661e-12,0.48626245821227315
168,12,-16.702991830623056,0.020917987012726718,1.9412838383663547e-12,0.8410331779003425
168,24,-17.670407657275312,0.016811102646630185,4.711148493079062e-13,0.41547738105144316
168,36,-16.455486115682763,0.022117600928723672,3.0630477867111863e-13,0.8091857302401786
168,48,-10.619386562182857,0.07978997078202299,1.7049055080549585e-13,2.8327477064219835
168,60,-14.105264078330757,0.037403966548683346,1.073229491114715e-14,1.5687034879053996
168,72,-6.374436050427484,0.18728208234268628,1.0810099440941043e-15,3.7059672813721622
168,84,-9.212696225765539,0.10704358354232518,9.139117850500119e-14,3.205134528745191
168,96,-7.587128484473457,0.14842587228300924,7.004884208893516e-10,3.6822049683252605
168,108,-10.547510765065361,0.08101361311484094,5.17283657979612e-09,3.2060617452590616
168,120,-16.397462059022725,0.02240842053360161,1.8385508268607596e-08,0.9799933413288859
168,132,-17.437008935193234,0.01772283341226799,7.655269196009559e-07,0.4933669602550856
168,144,-10.203788052860691,0.08710480555981051,2.578161296550807e-12,3.0188512396832747
168,156,-14.195120462199267,0.036666106402502556,4.0430928413968027e-14,1.7440717140133823
168,168,-7.987640199612651,0.13714331643407826,5.117555808309962e-11,2.50345918072446
168,180,-9.350764235743725,0.10404254433156858,9.243307304409044e-12,2.1503025805015734
168,192,-17.42919671188972,0.017754175964150184,1.1321405999594054e-10,0.7955695026861661
168,204,-18.181683082754564,0.01497201524827872,2.1636914903780351e-13,0.26108626045292793
168,216,-13.230902988135778,0.04536760659578531,2.4614183924329586e-13,2.3400366350662103
168,228,-10.899157897131035,0.07518626024796472,6.411461001397564e-13,2.76799381535808
168,240,-10.009164673297873,0.09073484106888964,1.027806403520353e-11,3.5425998344333127
168,252,-17.52735633177552,0.017364285256520857,2.709460879264285e-14,0.4021620735839416
168,264,-17.267317153345843,0.018416018692130765,2.456717758603085e-10,0.513765255027778
168,276,-17.227663567162924,0.018581798717534105,1.8484089652201487e-12,0.5362334387623079
168,288,-17.23302820220667,0.018559285400419904,4.173929277645981e-10,0.5206656223847607
168,300,-10.322472238250057,0.08495612486993169,7.516870713985081e-12,2.618247327966879
168,312,-13.045672159819473,0.04725102917614456,2.5777322829285644e-12,2.4779605501788216
168,324,-14.437015705336893,0.034748720314677566,6.369242251232927e-12,2.003162344758701
168,336,-13.482808659609976,0.04292072468657637,5.589402022589935e-12,2.319307637434188
168,348,-13.330814349844255,0.04438161107425161,9.054437917132195e-12,2.386759212627274
168,360,-14.164116736482201,0.03691909925281571,3.991947019348853e-09,2.162688483120964
168,372,-15.631175170651897,0.026617425677992156,7.956072868728367e-10,1.6467656210871002
168,384,-15.419699494609274,0.027908543798970682,1.7368937781201005e-08,1.6538710701512276
192,0,-16.939215561096034,0.01983255725687533,6.169555651017114e-14,0.8403135579803465
192,12,-14.947002083524417,0.03101811831466809,9.882239236266745e-15,1.5168218520204315
192,24,-15.666418715921871,0.026407977132300822,4.8569212191761564e-14,1.1338129587644894
192,36,-12.858464296293901,0.04922991425527071,2.8917732603621726e-15,1.8796814848429384
192,48,-4.949476237980965,0.2423829707672292,1.4012184161596878e-16,3.879186702766753
192,60,-9.879122504669738,0.09323568579499474,9.730786235486384e-16,2.729032296889419
192,72,-3.0842135017287453,0.3295620721942159,4.279987428823742e-16,4.7790866254658475
192,84,-6.77211284164719,0.17374186010128229,6.965785622428697e-14,4.219233740559637
192,96,-4.964512328010792,0.2417477644302773,6.477785096418886e-11,4.735395112484555
192,108,-8.293415082541006,0.12902249353592604,3.147712359532855e-09,4.151206885796481
192,120,-16.44126079562373,0.022188555818373326,1.997222824472328e-09,0.9590354604206981
192,132,-18.50967741384721,0.01389805651493091,3.2850160206197553e-12,0.09948760449968799
192,144,-13.278521847677238,0.04489509458194926,7.077875630185696e-17,1.9541519247908863
192,156,-12.200960807628935,0.05681966347729993,4.499558183837607e-16,2.8008640173450066
192,168,-15.487189295598716,0.02749002501253311,9.206739688304565e-10,1.2051518611837027
192,180,-18.38224185309425,0.014305990485087395,9.0057695770245e-15,0.2047008894311353
192,192,-16.9241776001266,0.01989997991521377,9.215594429904728e-14,0.9617101699884809
192,204,-15.53473587253939,0.027198846719035955,2.5803197953922782e-14,1.312993449342769
192,216,-13.068402366673169,0.04701596851253778,4.657505654523498e-15,2.492162862019663
