length,start,evidence,significance_level,posterior_weighted_theta,posterior_weighted_delta
96,0,-11.700990039899208,0.06331335454568818,0.006999821411053162,6.620999907129919,0.49833796677078634
96,12,-12.451526406626394,0.05380562977794521,0.11677143309090687,5.384833833634612,0.4570921526820998
96,24,-13.727643079437133,0.04066367101350015,0.2118320012575285,3.6847488301253666,0.3653429562688435
96,36,-14.209747914583104,0.03654732501455043,0.12586050248415362,4.44128311852697,0.3983498643812525
96,48,-15.471980457651313,0.02758380273998192,0.021976151403571315,2.839350873738082,0.3872321379044149
96,60,-13.462732131312452,0.04311102395314287,0.011127753162317535,6.0832301237433954,0.41771981508976397
96,72,-12.484885401414187,0.0534159133796071,0.4698649658626989,7.266250355656597,0.46217674379022433
96,84,-5.476675356874512,0.22079300365907467,0.03650002655488875,12.508889514501567,0.5173773360876619
96,96,4.54387489153018,0.7400571971664448,13.964140635202433,28.180932057219586,0.5542076500732689
96,108,6.484835424283184,0.8165563724088373,15.675501357207185,32.6076418670584,0.5838608449010168
96,120,-14.891838409493106,0.03140216932828027,0.018033764651074716,6.067006867371536,0.7796101596037358
96,132,1.4153590464692811,0.5807610766220082,3.4375548526246322,23.081319844510553,0.6684853181275537
96,144,-13.389583499690394,0.04381121482369081,2.1968315563541654,2.511938787390297,0.16944899758806886
96,156,-10.646744994694753,0.07932866104043437,0.8912977010990359,10.908704498794915,0.2974541582066589
96,168,-9.291877024507544,0.10531331242902801,0.12500743817773557,15.581544427817896,0.2788470789406833
96,180,-6.234954853666304,0.19221965602264962,0.25007609909967016,20.650607953639526,0.2815227238022876
96,192,-9.65102836664928,0.09777178982018339,4.448385331286828,9.055586350724699,0.29082956253080416
96,204,-0.8316412725698639,0.4522726353857537,2.6693557209895933,20.05501863075998,0.30710741021881527
96,216,-2.473234225749689,0.36135607631056615,5.844154990521475,19.481915965539393,0.2846631563369031
96,228,-14.947621786187092,0.031013829857340726,1.635940607208787,7.280934908567021,0.08941480399778834
96,240,-18.455311415948376,0.014070665758749462,1.762805427799226e-05,0.3117468773343757,0.04998874828126909
96,252,-15.096447772617001,0.03000038208524632,0.05436192421538634,2.5988840102784128,0.13052356278817578
96,264,-17.523980258278943,0.017377554311328702,0.010089537672601208,0.6142698354438018,0.18051503825555493
96,276,-16.094493139155464,0.023988636314323797,4.456208938383323,7.7479756750380115,0.33160810371619454
96,288,12.190748120365864,0.9430541823096613,22.512438728071153,37.32240473631573,0.339901842156622
96,300,6.030304603856153,0.8003572943433315,21.48982764898267,40.76860768449757,0.3648467080342156
96,312,56.755183487459604,0.9999978890364497,22.707862792393396,40.43571902731828,0.44631433480831006
96,324,59.98777851688069,0.9999989971829418,22.707949696007116,39.69825737286125,0.5219157938804033
96,336,51.23757780967006,0.9999924796344211,22.70794882825711,40.55440330871669,0.5375205803044789
96,348,56.6972080697872,0.9999978606676229,22.707945584970496,41.49208035775692,0.5437882368110186
96,360,46.396295401042565,0.9999770722993723,22.707902949322623,32.418762381017984,0.5649853611617404
96,372,33.99593726649768,0.9996016789571902,22.70065461387624,38.55660804112556,0.5024680316080656
96,384,53.212863392740914,0.9999952278774475,22.707926874725516,33.196307241870144,0.44921486106361785
96,396,45.49272255424728,0.9999717697005999,22.707530142865764,32.069594010174185,0.3883903568206828
96,408,51.928632932843385,0.999993585926665,22.707726456965137,38.508420138975744,0.4025407580163135
96,420,54.170798237493,0.9999961724707879,22.70766542847871,37.58064893896325,0.40695095329523423
96,432,42.118168398087256,0.9999386016790927,22.70707101228994,36.721699687342166,0.3759613236385052
96,444,36.19815803367144,0.999760072524206,22.707819880379706,37.247569130232506,0.34552545849326777
96,456,36.0135890840464,0.9997496587847229,22.706809803672478,35.88584972468044,0.36394943456519124
120,0,-11.722787050445842,0.06301635857215337,0.006060710042344848,4.6483398418858695,0.40174062478008843
120,12,-12.173555484618985,0.05715878770321355,0.029800385594303494,6.348661630610296,0.43156398070693347
120,24,-13.893111088720469,0.03920310640930464,0.005749582281469517,5.097783680020085,0.41483934219973084
120,36,-14.643635343937511,0.03318780911799688,0.002348094089842865,4.139385950417795,0.42544978821304
120,48,-13.390641636730061,0.04380100922994009,0.002422864000044796,4.930877072716591,0.4631097262232652
120,60,-10.49861785679431,0.08185573978900662,0.00089804000352713,8.393486079645896,0.505851590144025
120,72,-8.67221547560821,0.11953390057429561,0.04854902462520431,10.376232505236427,0.5417012815056231
120,84,-0.259343500484335,0.4850754228766802,0.007239546269160613,16.588772326923515,0.5724158769157642
120,96,5.353708938299463,0.7742972611198818,4.5261374215945525,22.83572360774666,0.6147244005178445
120,108,6.0655883062861164,0.8016522840906608,4.214262653450392,22.26684174682402,0.6430116385720176
120,120,-18.152793280828806,0.015070436974459601,0.21648549120503224,0.3113563574912047,0.7508777257546031
120,132,-16.735241966772016,0.020766441908963592,0.41382522026533375,5.743913186063403,0.5594320874321592
120,144,-10.016938980474643,0.09058726231348811,1.3188320499826478e-05,15.996521718606838,0.26517558311019107
120,156,-8.34728517947908,0.12763498265454107,0.0311058502515756,17.340619645103843,0.24752427320797998
120,168,-10.97544811381429,0.07397388425329798,0.5332924592891453,5.3355726208975875,0.20781465243554376
120,180,-2.7954487608722625,0.34441607854538225,0.48821216306764226,21.483544827047226,0.30006723273449654
120,192,-10.976011015624518,0.07396500603107634,0.4602421176036737,8.875545198953933,0.3114971873937953
120,204,-13.992109515349618,0.03835345766783101,0.010782923802000856,1.8339955486828885,0.2761466889074998
120,216,-15.52004535447592,0.027288490894542085,0.05059593238722795,1.741948846641439,0.22201387241591863
120,228,-16.348717688860358,0.022655614871256568,0.06629592420121302,1.605804825460514,0.18779663498012544
120,240,-18.60653972707713,0.01359568181586759,5.5999273662985e-10,0.06878176837978663,0.16412652495502333
120,252,-17.631088000645526,0.01696140287525733,1.6717018531970116,3.1104277936536167,0.3139940971566316
120,264,-1.6489925315853629,0.406200567068533,21.169532634939962,36.927818374109194,0.16711484202924354
120,276,-16.7691448395269,0.020608289189897183,3.3995941619443313,6.534642805597494,0.23143034413996866
120,288,7.488003432280022,0.8486660151154878,22.470998169785727,42.93131950807334,0.38340266373121745
120,300,14.660459667821277,0.9669362671715824,22.63684890529386,43.05164519894697,0.41233116692190286
120,312,59.96257855642266,0.9999989913471817,22.707931571661582,43.79246329442921,0.48113396710853606
120,324,56.42167120869089,0.9999977205404537,22.70795384373884,43.289519350297,0.5254447545402721
120,336,57.18813117940818,0.9999980893283827,22.70795413049717,43.99463840282608,0.5302612072203139
120,348,66.17192689927263,0.9999997585611214,22.70795021617467,44.316535886810364,0.49246091456825136
120,360,80.95445450281517,0.9999999919729763,22.707955205394857,38.12421385465569,0.48150944304054955
120,372,49.913811950890725,0.9999897996664134,22.70723164883331,39.49433839168506,0.3809179051571836
120,384,53.415595014738045,0.9999954455229235,22.707737055335762,41.706640426000604,0.383873460627554
120,396,63.37420852834199,0.9999995401894332,22.707805873597096,40.970177817693965,0.4201787259941352
120,408,60.04562728730495,0.9999990104520544,22.70773242096066,40.770035304078064,0.4108174701395093
120,420,45.89410304006463,0.9999742617794578,22.707917956409432,40.03605694363368,0.3655639533194134
120,432,44.065292860694136,0.9999607848678667,22.707728592620683,40.221222015824296,0.3583157324209474
144,0,-11.696744341159064,0.0633713561392177,0.0008230459795784268,5.618624217754661,0.4549460549278518
144,12,-12.94273128387021,0.048329624619589465,0.0012715307623950866,6.1250566817505625,0.4462692708605993
144,24,-12.835940601981514,0.04947323291482077,0.0009835035909208456,7.1983693989503115,0.45725489205146597
144,36,-11.720234253728751,0.06305107450092393,0.0008157166844585006,6.863983391084089,0.501996722733618
144,48,-8.751682392506797,0.11762149157575393,0.001919535267402612,8.941343861812909,0.5379719043575439
144,60,-5.709687562358522,0.21170073482915697,0.0005531879273428506,11.630860630832531,0.5575822552285838
