length,start,evidence,significance_level,posterior_weighted_theta,posterior_weighted_delta
96,0,-18.69915871528313,0.013312625033816278,7.590330861508996e-23,0.03322453247537816
96,12,-16.889043152368103,0.02005838151662312,7.609781589009718e-17,0.6563146992921765
96,24,-18.753864581642336,0.013148175436262784,1.2731954617290447e-20,0.016543456123901765
96,36,-18.807936571145248,0.012987601393431561,4.921981280107823e-21,6.039809765643339e-05
96,48,-18.807781376295402,0.012988059484802715,6.61113707671158e-21,0.00010787020496890923
96,60,-18.565620066916743,0.013722620900101337,1.2695382234395697e-19,0.07942597202793998
96,72,-18.468099516287147,0.01402987508502668,8.008793801847894e-17,0.10843220647788124
96,84,-18.46310255717725,0.014045800175261925,1.0234172802901307e-10,0.10785674692566811
96,96,-18.542489795949358,0.013794890849372445,4.844810433092366e-11,0.08207739642759068
96,108,-18.807840654876415,0.01298788450928928,5.887477489403175e-16,9.449253157520072e-05
96,120,-18.691786480753713,0.013334941064185929,1.5654011812845804e-17,0.03631029144004122
96,132,-18.530696813722972,0.013831882042699792,8.230337939909343e-20,0.08498337541848808
96,144,-18.78170838979747,0.013065246363886101,1.0250764857687488e-17,0.008494767103497223
96,156,-18.72257313524065,0.013241992748811266,4.7475191083802504e-24,0.02627230264470561
96,168,-17.380762973297912,0.017949709776536465,1.944465733550349e-22,0.4291494661899111
96,180,-18.667623718933573,0.01340834164553651,1.2264716914234157e-17,0.04325765755173445
96,192,-18.64046522371177,0.013491318315789941,2.4453698095897823e-18,0.051323273800802705
96,204,-18.620835244360862,0.013551608437187251,7.39156304893853e-18,0.05830650766415354
96,216,-15.508945606053896,0.027356413944072854,4.3466816854376157e-17,0.9848142607457825
96,228,-13.014259743075032,0.04757771435217474,4.9085764567028735e-17,1.8410960150934506
96,240,-13.446077473224031,0.04326949953922642,1.1439788971665531e-17,1.6184921066855256
96,252,-12.097165505025359,0.05811412882437571,2.1896643396756973e-17,7.781862733231336
96,264,2.3355062245337934,0.6312935528853921,8.21497337863128e-20,6.585850961655389
96,276,-18.802435490166367,0.013003848769018302,1.8216162135773773e-16,0.0026490644571617677
96,288,-18.805283721765747,0.012995434049255588,2.705217883744026e-07,0.0008670967087631408
96,300,-18.800678997455297,0.013009040772236037,2.0616160028041066,0.003534045027506539
96,312,-18.636865454421162,0.013502354547231765,4.901420630863838,0.054340563673461684
96,324,-17.19754383676095,0.018708698046778334,0.020773404522492378,0.5753622984297917
96,336,-18.62538475240706,0.013537611789006355,2.4328612211202594,0.09001519360549039
96,348,-18.800752509087527,0.013008823438761108,6.383692327769737e-06,0.0022699432109076654
96,360,-18.808134893279938,0.012987016025700446,2.713191036813676e-06,1.592486334316254e-07
96,372,-18.779001661798077,0.013073285292198776,1.2866547099428065e-13,0.008998916846796344
96,384,-18.805173829891054,0.0129957586104359,1.9030505840017653e-11,0.0009017852292189455
96,396,-17.738074151135375,0.016555505215618802,2.1097724785147332e-14,0.3486862522606
96,408,-16.714225082735062,0.020865078922894072,6.9048098338162885e-15,0.7113743716769994
96,420,-17.563476507253572,0.017222942777473063,4.117727572190268e-15,0.4289753624501129
96,432,-16.45235289466783,0.022133210145234155,1.2334314767061433e-11,0.9141763552971839
96,444,-16.566338382773523,0.021572224661868273,1.1049437649718182e-11,0.854770029384177
96,456,-17.362177334673415,0.018025302591658795,3.763075410625003e-12,0.640256917425488
120,0,-18.530000251709154,0.013834070013770239,9.201909256256547e-27,0.08449367113762794
120,12,-18.79641507999488,0.013021652964741504,2.1262912975428492e-20,0.003551312799854702
120,24,-18.808036433511756,0.012987306636356557,1.4219336133021953e-24,3.01474023640458e-05
120,36,-18.80676715394088,0.012991053575401765,1.3650738100351126e-26,0.0004148721237054661
120,48,-18.807586165528395,0.01298863571450315,1.3232598414661795e-27,0.00016707582076224455
120,60,-18.681722835874464,0.01336546367544203,1.9949459519574046e-20,0.03918171394534921
120,72,-17.630501479387327,0.016963654832381138,2.3924063588940905e-22,0.40048781918152726
120,84,-18.762545453856234,0.013122265047942698,3.957092213778761e-21,0.014270808199006368
120,96,-18.802535635152832,0.013003552812851897,4.181669202464263e-20,0.0017041200634044388
120,108,-18.80583021294487,0.012993820128590999,6.92340364050894e-24,0.0006993038080023739
120,120,-18.69053955909466,0.01333871918978373,2.4897753687394996e-22,0.037498865644592365
120,132,-18.65298871639037,0.01345299286221399,9.66912346370728e-28,0.05070051190269999
120,144,-18.79735424880502,0.013018873972354687,7.956104345392656e-27,0.0033003198451556407
120,156,-18.775594354545188,0.013083411866422699,1.2750102484060543e-24,0.009917388314130993
120,168,-13.837126536327055,0.03969155331634421,1.1284448860100652e-22,1.4039657082495207
120,180,-17.82831875352741,0.01622056084120813,2.914046165357072e-23,0.34263827227143817
120,192,-18.664567280978872,0.0134176547078863,1.0419651907807274e-18,0.046142954537840807
120,204,-18.681809064736417,0.013365201854434192,2.243657487498414e-18,0.038272126010636794
120,216,-17.5102174010737,0.017431749907534592,7.604112156416453e-19,0.47064884822039615
120,228,-17.7818515344057,0.01639218390121343,1.3618757830690585e-18,0.3728665364115171
120,240,-11.710796761253114,0.0631795715374216,4.321792122992519e-21,2.1741212479083383
120,252,-18.788850925593252,0.013044056585897003,8.640262238633103e-20,0.006077078693390355
120,264,-18.80755144706036,0.012988738200285954,2.5765672757598084e-15,0.00017886983674054123
120,276,-18.80801351478177,0.012987374283456867,3.5141453594630043e-10,3.7297859291639795e-05
120,288,-18.80316864009923,0.013001682261734659,1.2280051649509593e-07,0.0015214473079762012
120,300,-18.530337646679786,0.01383301017975491,1.5316729785935297e-05,0.08965769195772823
120,312,-18.76823140191961,0.013105321126718476,0.23237175128959942,0.011888922867123423
120,324,-18.70146496026355,0.013305651512058734,3.366749229044655e-09,0.03285060372643766
120,336,-18.805358235271775,0.012995213981198305,5.253798482285084e-10,0.0008487010831200011
120,348,-18.807910398420486,0.012987678646806377,1.6371069817725634e-08,6.84446905197402e-05
120,360,-18.808135922660405,0.012987012987448364,1.2357446378099455e-11,4.4331981468778966e-11
120,372,-15.653445356560098,0.026484889255164918,2.255346428504702e-14,1.0034871247431283
120,384,-17.21446346151731,0.018637308632608388,1.4259258313828073e-17,0.6119835285208831
120,396,-16.482604541664255,0.021982949986990873,1.4038386444536e-18,0.8077471670041425
120,408,-16.480554771855726,0.021993099639275607,2.0477032585696204e-17,0.8085603205882468
120,420,-16.21923674235792,0.023325248876892697,6.122216568746649e-21,1.0442650554265098
120,432,-15.844480563042332,0.025374057000038853,7.132261678506403e-22,1.2688402836641801
144,0,-18.807052183896506,0.012990212068318812,1.2761676564530396e-26,0.00032836811295051835
144,12,-18.803640190178065,0.013000288987816869,1.0187073094980202e-25,0.001362674649400477
144,24,-18.807886079378015,0.012987750429120135,4.226257719655402e-29,7.573977706171693e-05
144,36,-18.80640671892467,0.012992117781348312,2.9059856899611523e-30,0.0005245504821299916
144,48,-18.7988610705443,0.013014416522572804,1.0556896704733092e-28,0.0028395999489173145
144,60,-18.756785050324275,0.013139452885530237,2.95143625492192e-27,0.015738887615569228
144,72,-18.76172849145631,0.013124701341914909,2.755670210862364e-27,0.014171060382230054
144,84,-18.75821612851016,0.013135180775323446,1.205818397248014e-26,0.015296522078226609
144,96,-18.796939138681502,0.013020102207440947,1.4984226760625627e-26,0.0034023343445895313
144,108,-18.79493749384309,0.01302602631438265,1.8393142786419737e-29,0.004004608316125558
144,120,-18.79325703545352,0.013031001885520251,1.4707630628742812e-29,0.004549104271154602
144,132,-18.787529123410092,0.013047975420748554,1.2189220614552863e-28,0.006328600746867288
144,144,-18.75357282773862,0.013149047130163486,7.21712004826147e-27,0.01672044047978836
144,156,-18.802469663745864,0.013003747775880679,1.1818459343069515e-29,0.0017349010020152452
144,168,-7.538133814096371,0.1498574598687362,5.212830226255076e-26,4.891404536560194
144,180,-17.949999975684648,0.015779470363961264,1.6605657792265258e-24,0.2704278836104665
144,192,-18.773562490005173,0.013089454285458877,1.3403386733911758e-23,0.010636684304442607
144,204,-17.382901341291554,0.017941032444483102,1.0051483863340052e-20,0.4285145248188493
144,216,-13.894386138161183,0.03919204944182145,4.068127004333205e-21,1.3737943844854328
144,228,-18.02906449860912,0.01549921198549499,1.1374019684430246e-26,0.24086066160180106
144,240,-18.80766872325426,0.012988392014755741,1.0554549572091653e-20,0.00014208244971830976
144,252,-18.808102635479727,0.012987111236069741,6.337797063771397e-19,1.0103207262122453e-05
