length,start,evidence,significance_level,posterior_weighted_theta,posterior_weighted_delta
96,0,-18.532603858796893,0.013825893568680058,2.048328629136312e-21,0.08747298861843915
96,12,-16.36442097568774,0.022575690300244776,2.5120965163266685e-19,1.1217689600586207
96,24,46.25096631770154,0.9999762921008089,3.8269752404348917e-19,22.1974462360031
96,36,-18.308506311663063,0.014547391021645298,3.441010162496773e-17,0.20494803384061103
96,48,-18.8036269619342,0.013000328070876706,1.1992804735763609e-16,0.0015637467835974952
96,60,-18.38721464831594,0.014289853038893692,1.8924533384449603e-20,0.20554942026157286
96,72,-18.477024363939563,0.014001476257956247,1.8489798535455054e-17,0.10375833576167168
96,84,-18.765574178594793,0.0131132368682268,6.3872351506068e-12,0.012997548337642936
96,96,-18.762092639852163,0.013123615346306895,5.435751682318211e-10,0.01406101013077111
96,108,-15.070950960241449,0.030171698383072463,5.8822961454729e-20,1.0757011997774384
96,120,-18.4293508407025,0.014153833034245009,5.944769408974338e-16,0.12213745245596105
96,132,-18.29764403481224,0.014583290225578839,1.4449092431901404e-16,0.1696486995584754
96,144,-18.621815904146207,0.01354859021251248,1.758253546603378e-12,0.05762894557468519
96,156,-18.77948374660517,0.013071853152764327,5.836495494911304e-19,0.008692623954395034
96,168,-18.80515797985391,0.01299580542353573,4.2538652615437983e-16,0.0009122154398273011
96,180,-18.597213672621457,0.013624510398185559,1.014938622005655e-14,0.07196972302882458
96,192,-18.517540064744136,0.013873266407164374,5.184789319980277e-16,0.09148173901683983
96,204,-14.4830534922603,0.0343949115130268,9.785106633818752e-16,1.278564830511385
96,216,-18.60726607827226,0.013593439054991453,1.5057602707069888e-17,0.06195450548474513
96,228,-18.734043815154998,0.013207525182745587,1.7948215675121685e-15,0.022734303429420132
96,240,-18.80155567695774,0.013006449146418401,2.6939301458157627e-16,0.002000100717780406
96,252,-18.41639743106105,0.014195511572541439,4.451804144703591e-18,0.1335309333164383
96,264,-18.723650807057204,0.013238750743191337,1.902217106333339e-18,0.025727239534575716
96,276,-18.80320928595231,0.013001562160931094,4.5294290380794896e-11,0.0015614325625207437
96,288,-18.808075314623395,0.012987191875362661,3.0947340005410807e-07,1.8969478981910054e-05
96,300,-18.793676117239738,0.01302976087522046,0.003425918712020187,0.010602749205151155
96,312,27.201754530568177,0.9980989298755935,22.70598264734129,46.0177793547572
96,324,-3.5149434615912467,0.30802995300340835,20.50824064276056,41.47446314396183
96,336,25.75637064246095,0.9973502150968294,22.704779563456515,45.93249252631051
96,348,17.574249063221213,0.9828189922401923,22.689515746957767,46.51814970958188
96,360,6.15066757926604,0.8047488477094669,22.456411116704803,40.76593602552293
96,372,-18.239343113332104,0.01477746788836075,1.1876292205388489e-13,0.3386659523486614
96,384,-18.59613100913035,0.0136278610169506,6.208017007152245e-14,0.06948753542921536
96,396,-17.965798910165493,0.015723072389501408,2.3391740368070243e-11,0.3200452968337028
96,408,-17.86622233133244,0.016081876661988716,3.330299983516269e-10,0.38816387739510155
96,420,-17.904368743553214,0.015943481715789024,8.124370783148766e-11,0.3082236074622265
96,432,-14.801049352951278,0.032044282669088445,8.604818993295284e-09,2.4883339740480555
96,444,-14.316563860865505,0.035691088576527724,9.410553715592538e-11,2.8687373587563982
96,456,-18.057112867077617,0.015400971466013267,2.466341105022529e-11,0.25430835814809105
120,0,70.53616014124118,0.9999999116139049,3.099271208248052e-19,29.557612475465433
120,12,-18.799170924674897,0.0130135001050166,4.477418572547645e-19,0.004119092973428843
120,24,-18.806780195705205,0.012991015070425094,3.103634938222803e-21,0.0004139481812898532
120,36,-18.786831345260094,0.013050044638548672,2.29569499738073e-22,0.006690654025926494
120,48,-18.781899344176193,0.013064679417413249,2.614711757867722e-25,0.008083127009173614
120,60,-18.74546151522876,0.013173304718573154,7.561235870330916e-23,0.019149912201352686
120,72,-18.511287622455598,0.01389297614367201,9.808441171984738e-22,0.09325481929404407
120,84,-18.6581136764232,0.013437340008209845,3.0367920407496035e-17,0.046500389395728606
120,96,-18.77987653163235,0.01307068641250773,3.066741915853844e-13,0.00861794596153615
120,108,-14.16202776136739,0.03693620568975947,5.210057816171741e-25,1.3698665849881562
120,120,-18.478102918996075,0.013998048140573371,5.171634609226179e-16,0.10404849461447153
120,132,-18.687990824527915,0.013346445044827836,7.601506965070853e-22,0.03667484787580434
120,144,-18.807862452300743,0.012987820169340988,4.499910226578686e-23,8.289573929060935e-05
120,156,-18.807255086911795,0.012989613061165485,2.6064338185882102e-20,0.00026712873591965437
120,168,-18.767838819385403,0.013106490314456867,4.2953674367568977e-16,0.012415765647230598
120,180,-18.799728697436564,0.013011850609419912,6.307508527546708e-18,0.0029918542887816374
120,192,-18.684786275317887,0.013356165103361003,1.709602399570594e-17,0.038167479318139574
120,204,-18.80546927737012,0.012994886036484727,9.839724920514954e-17,0.0008088112817670379
120,216,-18.806882549516594,0.012990712881241056,8.09926612416706e-24,0.00037998861222791864
120,228,-18.218172522919357,0.014848607357176354,9.419862331358684e-23,0.1860155560473362
120,240,-18.74724587574732,0.013167964647265457,1.819072062832971e-23,0.01855055215678905
120,252,-18.799209806772474,0.013013385112702624,1.3449048924165902e-14,0.0027085562918767927
120,264,-18.80804473859135,0.012987282123105348,1.1668112415623084e-14,2.765809402085504e-05
120,276,-18.807782140068127,0.012988057230322272,8.567680053265502e-12,0.00010735214075540161
120,288,-18.80664891440612,0.0129914026752197,3.4637781726620646e-12,0.0004536676282112696
120,300,-18.724529676432788,0.013236107383077476,1.187106561001665e-10,0.026107248012195293
120,312,-11.87628084233906,0.06096145645243582,13.05473402240712,27.319263519529496
120,324,-18.326327230235236,0.01448868241654168,0.00509593290287264,0.16901045599896167
120,336,-18.763036199481586,0.01312080179168894,0.000904858498464254,0.01635444472098202
120,348,-18.802303929365184,0.013004237577718661,0.006297424360584579,0.013997924549990968
120,360,-18.807129970691705,0.012989982424119419,0.0015728292064637103,0.003021536942790018
120,372,-18.792563313472446,0.013033056433300712,2.486578054568717e-13,0.0059570941782003456
120,384,-17.976348837412374,0.01568552246651417,2.406024482690374e-14,0.2902844790471798
120,396,-17.55279164587299,0.01726463575166324,7.924130760684943e-13,0.45608881627547404
120,408,-17.53430618918462,0.017337001406632323,1.0844941652979888e-11,0.4663485582437135
120,420,-16.68293415451871,0.021012784424902235,4.801096939478515e-16,0.8237120888288059
120,432,-16.57862579053385,0.02151258819427854,3.684984649477691e-16,0.8783342352321131
144,0,-18.80732478718737,0.012989407299376686,1.5374786782660085e-20,0.00024623198266988364
144,12,-18.795551955761177,0.013024207458076092,2.885202252321478e-24,0.0038610913959108975
144,24,-18.796673717267204,0.013020887600889045,7.931045970744556e-28,0.0035151275250396553
144,36,-18.790272987634353,0.013039841800884818,7.659322236733654e-29,0.005474837594293823
144,48,-18.77650947085826,0.013080691365421981,1.2237610226477975e-27,0.009708763429922523
144,60,-18.623262975044415,0.013544137702423277,1.5077588024578827e-24,0.05722794651998005
144,72,-18.661273186854785,0.01342769906020331,6.039918890384876e-23,0.04560072827668088
144,84,-18.655353570443296,0.013445767798678626,2.361467133700918e-25,0.04752130398090934
144,96,-18.72931507651885,0.01322172355260912,3.216146740310289e-21,0.02404204761376391
144,108,-17.904867323617033,0.01594168064959701,4.787567568867572e-26,0.2812407986174512
144,120,-18.807040350413132,0.012990247003787203,5.337155073985457e-27,0.00033194356507792696
144,132,-18.80696294221526,0.012990475534865382,2.4930294058489655e-25,0.00035544365644016204
144,144,-18.80274432214891,0.013002936106347868,5.4488088251803074e-24,0.0016357403994635249
144,156,-18.331728403474912,0.014470935124529564,6.257269297859952e-20,0.1444558666095272
144,168,-18.668053132808254,0.013407033718934256,2.0498846353004022e-15,0.04403953102129441
144,180,-18.799305198543024,0.013013102999443426,3.2461056620809804e-16,0.002678412816379999
144,192,-18.806212637788175,0.012992690853147382,1.333068102890856e-24,0.0005828184782124411
144,204,-18.736449873208244,0.01320030659987814,4.066757252161628e-26,0.021816943019651324
144,216,-18.78443363851479,0.013057157357420579,1.435362629454346e-28,0.007186198682094122
144,228,-18.768301997468047,0.013105110890254979,3.0366099851352187e-21,0.01209831994109926
144,240,-18.807942601349495,0.0129875835942933,3.4408981236053674e-25,5.861092087363155e-05
144,252,-18.806454880440683,0.012991975576611707,7.623497352521451e-22,0.0005106374512139546
144,264,-18.803093600228674,0.01300190399322713,5.270235398411174e-20,0.0015345792285760204
144,276,-18.8032453602222,0.013001455569207707,1.8372145600979132e-19,0.0014883222653190665
144,288,-18.799040984920598,0.013013884404136733,1.156475980703942e-17,0.0027745912309210066
144,300,-18.664013641699782,0.013419342346577559,1.6983144377179636e-15,0.04485838101308832
144,312,-18.73635012365162,0.013200605788134636,1.5755729229559047e-10,0.022324017965872873
144,324,-18.788282590651026,0.013045741423951986,6.607979643132433e-13,0.006113691665834959
144,336,-18.808114156221656,0.012987077231995155,3.5130992511749325e-11,6.600515218371552e-06
144,348,-18.80813583787056,0.012987013237708508,7.697750365315887e-09,4.838999124966883e-08
144,360,-18.808132079150983,0.012987024331703045,6.534751202397523e-06,1.3347478654354636e-05
144,372,-18.771405647791873,0.013095871379689199,1.5424047334351572e-14,0.011713626238034031
144,384,-17.572138689994546,0.01718921503560616,2.0075830780339804e-15,0.45480456534268854
144,396,-16.502335353356226,0.021885484658878383,3.593051660086148e-17,0.9638692881185869
144,408,-17.146852007531827,0.018924192869498598,7.495733767029147e-19,0.6260208592390982
168,0,-18.78783518562078,0.013047067914407991,6.003328302318864e-26,0.006210809282802222
168,12,-18.79487407960087,0.013026214039867937,4.341066219835562e-30,0.0040528090376808785
168,24,-18.79134669026836,0.01303666039289792,5.881825094170036e-30,0.005142745022753541
168,36,-18.762184474635244,0.013123341482480741,7.367994374938548e-30,0.014187761483097323
168,48,-18.776358526147195,0.01308114006254357,6.602920644852836e-29,0.009713395796378341
168,60,-18.574115276393023,0.013696171679781283,2.2092966106843743e-28,0.0729768290947695
168,72,-18.508008021313092,0.013903325551290008,7.539080547449746e-27,0.09307808832798825
168,84,-18.498666803728586,0.013932845221855325,3.896295491310962e-29,0.09605248809778436
168,96,-18.802730131676206,0.01300297804075735,1.4850193421990906e-31,0.0016472719251273778
168,108,-18.79179867544827,0.013035321378498443,1.853012923354733e-27,0.005084878805438458
168,120,-18.79349299070397,0.013030303146232417,3.7511950116326215e-28,0.004439313274831365
168,132,-17.661459567265084,0.01684519143943228,3.0010339881386856e-27,0.34540888671037473
168,144,-18.807298186653373,0.012989485826282923,1.1626179011677912e-21,0.0002548543363049619
168,156,-18.80338559377709,0.013001041217349161,5.582951410000417e-19,0.0014401909771747487
168,168,-18.80478716466625,0.012996900674034967,1.5087294785094684e-25,0.0010149354843676894
168,180,-18.493687585245972,0.013948605548730625,3.406515115084898e-25,0.0953633175336038
168,192,-18.340382863921725,0.01444254275885046,1.227714059077789e-28,0.14171390240801596
168,204,-18.549246648137892,0.013773740519811105,2.25647182737891e-25,0.07848509490603546
168,216,-18.808043502634057,0.012987285771150776,6.620395452920007e-31,2.8022302614578392e-05
168,228,-18.801535809369348,0.013006507873020342,1.4756787769252273e-29,0.002007787436921923
168,240,-18.80157873150027,0.013006380999827125,1.983546567320412e-26,0.0019947086688324065
168,252,-18.796109362064666,0.013022557707736186,4.325981443890577e-26,0.003668892496733716
168,264,-18.790006078024167,0.01304063277968031,2.6070401825972666e-23,0.005525382477660238
168,276,-18.790044090335073,0.013040520128421471,5.515825147056064e-22,0.005513776104299868
168,288,-18.77824941089448,0.013075520329007499,1.5326862162740755e-23,0.009163151598142613
168,300,-18.78245377445108,0.013063033443006345,6.109400427781322e-22,0.00784971018799846
168,312,-18.807539719593805,0.012988772818888628,3.261298071739849e-18,0.0001807184564504842
168,324,-18.808134040575105,0.012987018542488803,9.802034643472332e-19,5.703506689173438e-07
168,336,-18.808135739247525,0.012987013528797775,3.062800452923813e-15,5.5627456580788197e-08
168,348,-18.808135898129883,0.012987013059851036,1.66493807379024e-13,7.543037123542662e-09
168,360,-18.808135919872942,0.012987012995675649,4.715222399945795e-09,9.919031456782292e-09
168,372,-18.662119780986842,0.013425116917336015,6.589721742056262e-19,0.04674249412969246
168,384,-17.096471359102473,0.01914077616380552,3.812749959302001e-21,0.6534419566160266
192,0,-18.779948513127753,0.013070472607687398,1.5163110151952076e-28,0.00862604193516397
192,12,-18.771230243572713,0.013096393383449756,7.771137882749483e-31,0.011365021584745555
192,24,-18.78452464486563,0.013056887320219732,2.38170418503493e-31,0.007235274208302579
192,36,-18.731780821160818,0.013214318103238,9.42842813400064e-33,0.02361351309042024
192,48,-18.71496412930603,0.01326490554213851,2.8831013726848634e-32,0.028560962419622887
192,60,-18.416289509658153,0.014195859325115294,3.5602937490236666e-31,0.12288030825055624
192,72,-18.78607803482372,0.013052278897387765,6.195295017472795e-32,0.006779025901671351
192,84,-18.78602807622595,0.013052427083961014,6.035248594975837e-32,0.006794426407335719
192,96,-18.786023464397477,0.013052440763593149,5.918076065246736e-32,0.00679584815917059
192,108,-11.18550153811883,0.0707281997971845,3.215311278727062e-32,1.857744753810732
192,120,-18.807737414353653,0.012988189250938366,8.079794054016623e-26,0.00012097068390364211
192,132,-18.807956557404193,0.012987542400797988,4.443582945933446e-24,5.436356739488726e-05
192,144,-18.617270783347987,0.013562584540192954,8.623404312701482e-28,0.05782734427952281
192,156,-18.719076899121735,0.013252516017050945,9.4837936795667e-28,0.02702249456442993
192,168,-17.256863445683745,0.0184595811890777,1.2480266364269758e-28,0.46681130670717935
192,180,-18.57970453389138,0.01367879735505458,1.3934334211870437e-25,0.0693331409614988
192,192,-18.807797040344177,0.01298801324823067,3.163168288859889e-31,0.00010274298164373609
192,204,-18.805489551315688,0.012994826161577223,1.5537593349750366e-32,0.0008052688108693788
192,216,-18.805667959718964,0.012994299280974902,1.4278724311937955e-32,0.0007508949793964592
192,228,-18.778504818209004,0.013074761437863711,6.892735343646689e-32,0.009072917013232852
192,240,-18.784687484112418,0.013056404151710502,4.676697326608439e-29,0.007152622328043273
192,252,-18.773610108911644,0.013089312643436702,1.8704717696901247e-28,0.010565345793511668
192,264,-18.76723105775638,0.013108300550724915,1.8568658702418155e-28,0.0125141696389028
192,276,-18.797950184402332,0.01301711090758679,4.4430135883645405e-28,0.0030948641183251254
192,288,-18.806304142392197,0.012992420660421892,1.5818917901929688e-28,0.0005553229075796746
192,300,-18.808098181005022,0.012987124383709225,3.566590691242376e-25,1.1435894500123604e-05
192,312,-18.808120742958295,0.012987057790935673,3.755570665538276e-22,4.599337357726218e-06
192,324,-18.808128648168214,0.012987034458378899,6.407113980715198e-23,2.204145584429278e-06
192,336,-18.808134280547645,0.012987017834201345,2.836348368110968e-19,4.975841673621923e-07
192,348,-18.808134951489176,0.012987015853893847,2.954770142330953e-19,2.9429743716508196e-07
192,360,-18.808135922427038,0.012987012988137155,6.898108616129122e-20,1.1539401352170934e-10
216,0,-18.770125113769534,0.013099682727021068,2.8059456573299212e-30,0.011664226223608087
216,12,-18.743816597588513,0.013178229370670178,8.8793130730748e-34,0.019892448118267028
216,24,-18.766190798394046,0.013111399567012266,1.1164333321473105e-34,0.012894819275920223
216,36,-18.69854757183252,0.013314473586640844,6.986301121185997e-35,0.03398589865328599
216,48,-18.79615639399422,0.013022418517198509,3.935443660275406e-36,0.0036557890168720164
216,60,-18.771497119806927,0.013095599166697822,1.1039201695561482e-33,0.011312890353253962
216,72,-18.745792852633716,0.013172312960710836,3.9407744940482547e-32,0.0194248743680173
216,84,-18.80793035455649,0.012987619742739518,4.7555754094410024e-33,6.261770952820882e-05
216,96,-18.808133296062806,0.012987020739943476,1.8159902097364405e-32,7.959944654639385e-07
216,108,-18.803015615160504,0.013002134431288222,1.05890929212532e-35,0.001551308367531387
216,120,-18.138512955927506,0.01511932218065302,1.6611971991807074e-31,0.20258776697120778
216,132,-18.787890369594248,0.013046904294805069,9.503727442303948e-32,0.006138100895195063
216,144,-18.454250930188053,0.014074053673690601,1.8680206626571934e-31,0.10741171634325268
216,156,-18.462554898975483,0.01404754662111605,1.1587609656726912e-26,0.10497437786050054
216,168,-18.807363415843483,0.01298929326532501,2.4815325317959194e-31,0.00023422488333945944
216,180,-18.8064773998788,0.01299190908482223,7.397129974261463e-33,0.0005038585951214884
216,192,-18.805305540121424,0.012995369610581646,4.795029561929764e-33,0.0008609659974637062
216,204,-18.797190302960637,0.013019359044521879,1.5629410393195482e-32,0.003345708957410709
216,216,-18.796363669426224,0.013021805105067263,7.720683978317134e-34,0.003590318088285115
216,228,-18.733516292447128,0.013209108360955495,3.2247001218269674e-33,0.022984100406323007
216,240,-18.75974783055115,0.013130609797336962,1.0021569958764614e-33,0.014823739395865293
216,252,-18.785957441905232,0.013052636601440237,1.5855902073420491e-34,0.006755624713928268
216,264,-18.80110672992841,0.013007776252736197,3.69469178647431e-33,0.0021319325275481874
216,276,-18.807963920292316,0.012987520668125047,6.2815282880610155e-31,5.211472087016678e-05
216,288,-18.808029927979955,0.012987325838099084,1.77641478549166e-29,3.2115578461056406e-05
216,300,-18.8080171824761,0.012987363457838609,2.7065208924108428e-27,3.597884885609796e-05
216,312,-18.808023179550045,0.01298734575680984,1.315546487870172e-24,3.4161429288274166e-05
216,324,-18.808029313726543,0.01298732765113231,2.1900052127710994e-26,3.2303810226323234e-05
216,336,-18.808107915999287,0.012987095650328153,9.081424462494886e-27,8.485931182004428e-06
240,0,-18.750943985387796,0.013156904081607457,1.3489705309324075e-33,0.017663584139182044
240,12,-18.71070528404798,0.01327774715560186,1.122176272875109e-35,0.030312946086287495
240,24,-18.800803142870826,0.013008673744589595,6.815379277513377e-38,0.0022383101477266043
240,36,-18.791832527990685,0.0130352210951828,4.091876119252661e-37,0.004995201283654746
240,48,-18.773311469954447,0.013090200967411583,2.9983177723902072e-36,0.010709233748142857
240,60,-18.80755355674383,0.012988731972668068,1.1268329334968334e-33,0.00017760609261447885
240,72,-18.80810243754157,0.012987111820295372,1.4165184844657905e-32,1.0146175307033829e-05
240,84,-18.80812991240784,0.012987030726926757,4.754680328258783e-34,1.821023262000027e-06
240,96,-18.808133865390573,0.012987019059552187,4.955232632894048e-37,6.23950221559947e-07
240,108,-18.784951774604757,0.01305561999966896,7.415247789669961e-38,0.007026993460466733
240,120,-18.283128414010182,0.014631399800992108,8.116111380641919e-35,0.1595956584990633
240,132,-16.695293767904303,0.020954320320536672,5.625132932333695e-29,0.629846203237675
240,144,-18.808135193012816,0.012987015141028407,2.8306687684341497e-37,2.2113289356330447e-07
240,156,-18.80795664358494,0.012987542146422322,9.641870762686707e-35,5.4364808628031264e-05
240,168,-18.804781604255393,0.012996917098119015,3.560386918732823e-33,0.0010204090143597292
240,180,-18.801730288807995,0.013005933022528554,7.434012636181516e-33,0.0019518060957946148
240,192,-18.793734245214587,0.013029588752360573,7.061900129536169e-34,0.004394339187697291
240,204,-18.77078628935364,0.013097714684988025,8.17291459028839e-34,0.011465578637468112
240,216,-18.78137880037079,0.013066224977052118,1.698643117073138e-34,0.008181499944790525
240,228,-18.75488175280894,0.013145136807475635,7.335422853812131e-37,0.01629470473508101
240,240,-18.796564609106618,0.013021210470215717,8.92667410330676e-39,0.003512557505341384
240,252,-18.807367860003666,0.012989280145967641,2.8596174629030506e-37,0.00023273838702559177
240,264,-18.807325920338503,0.012989403954234213,5.221047168219126e-34,0.0002454401547176908
240,276,-18.807574729968348,0.012988669471155718,5.201992365642899e-33,0.0001700402170408605
240,288,-18.807597310755703,0.012988602814967677,3.049693902362661e-31,0.0001632113541571336
240,300,-18.807234166178368,0.012989674821771763,2.1444221324924366e-29,0.0002732978015486247
240,312,-18.807265193863365,0.012989583224291598,5.3442277444969e-32,0.0002638861381085569
264,0,-18.797816522326745,0.013017506323940805,2.0972521796746204e-36,0.003155517929503226
264,12,-18.789317875031607,0.013042672467475827,8.404265613767341e-38,0.005773269580250984
264,24,-18.787752067220072,0.013047314362964704,5.053037426819105e-38,0.006257099901475122
264,36,-18.80758900431995,0.012988627334682087,2.9880876885056188e-36,0.00016619642407108615
264,48,-18.80806836255054,0.01298721239493888,4.002249800166964e-35,2.0469429604527906e-05
264,60,-18.80809786781079,0.01298712530812059,9.73343104384885e-35,1.153006795312321e-05
264,72,-18.808122321338185,0.012987053132278291,4.8312187154266445e-37,4.125064713521449e-06
264,84,-18.808120869638167,0.012987057417034414,2.315394204219556e-37,4.563001726113413e-06
264,96,-18.80813084257842,0.012987027981492984,1.3583407472583371e-39,1.5402770152631884e-06
264,108,17.413651886806598,0.9821832963918254,7.532963561755945e-34,2.6487381633430824
264,120,-18.808135554496506,0.012987014074096775,1.1219316661032559e-39,1.1160068840907602e-07
264,132,-18.808130307089087,0.012987029562010007,6.944773474257781e-39,1.702339103812919e-06
264,144,-18.80812369041092,0.012987049091401482,2.190193460524297e-38,3.7085665899200694e-06
264,156,-18.80731175955677,0.012989445757926783,9.67771637111083e-35,0.00025010684422271777
264,168,-18.793255091549646,0.01303100764219759,3.939820978648794e-34,0.0045447590393624384
264,180,-18.780488174340537,0.013068869775518669,1.04848754638801e-33,0.008469115094135277
264,192,-18.778275992059978,0.013075441346427614,1.5416830504059263e-34,0.00913740859158224
264,204,-18.766461879643003,0.013110591924533352,1.807458486046456e-37,0.012735797621755408
264,216,-18.797719110859397,0.013017794506547062,5.545204799190494e-40,0.0031630186437969442
264,228,-18.804736246562904,0.012997051074335133,2.925914435439935e-43,0.0010305012128820706
264,240,-18.80588222032087,0.012993666548535324,1.2953690208408777e-39,0.0006830072475827892
264,252,-18.806199076822015,0.012992730896133365,2.6966736905297808e-39,0.000586952703039896
264,264,-18.80495550055193,0.012996403460988801,8.477316641243463e-36,0.0009639009944743776
264,276,-18.804955830580784,0.012996402486202301,3.5777229476205474e-35,0.0009638010446256278
264,288,-18.805374155431085,0.01299516696310469,6.9735215788474355e-37,0.0008371913361713145
288,0,-18.78264488101556,0.013062466139532236,1.3692210948213995e-36,0.007839919736322561
288,12,-18.806647268837075,0.012991407533794108,1.3385237813033232e-36,0.0004522324809256368
