length,start,evidence,significance_level,posterior_weighted_theta,posterior_weighted_delta
96,0,-15.822843358001089,0.025497558434354393,2.3136467274324995e-23,0.8777768458992189
96,12,-16.30020713929502,0.022904267261629058,2.091125190823316e-17,1.1486974696691228
96,24,-18.758963231611375,0.013132951038655931,1.389827343483014e-20,0.014932253914635428
96,36,-18.77551196501272,0.013083656825310026,5.404643974341254e-22,0.009897703469912453
96,48,-18.808022886638764,0.012987346621369415,6.100351495054643e-20,3.4346268889407504e-05
96,60,-17.004698177411996,0.019541566229239485,6.231811466146837e-21,0.5928479704438893
96,72,-18.334413163801845,0.01446212145228163,2.5290035916610195e-19,0.15135239503074047
96,84,-18.723121203969924,0.013240343872647687,1.2759276903783241e-15,0.026009087874682122
96,96,-18.722431767533244,0.01324241808936281,9.553919458247544e-16,0.02622279847678727
96,108,-18.758717635265995,0.013133683982192624,1.1611908053998704e-16,0.015135282510712415
96,120,-18.63299967015983,0.013514216247465759,5.814935957214871e-17,0.05373167531958004
96,132,-18.211896101424337,0.014869762746463037,3.3912635074354608e-18,0.19273557165264263
96,144,-18.698589186801367,0.01331434770395651,2.936960026672396e-19,0.03357657087550038
96,156,-18.773316095313454,0.0130901872084808,5.464175950867984e-15,0.010564508783381586
96,168,-18.72966986843541,0.013220657742617445,1.4499900366933733e-12,0.04309167503737189
96,180,-18.546638283486157,0.013781901442899003,1.3670880786659425e-10,0.08345013907370133
96,192,-17.469454489361297,0.01759324262936119,2.5649743888288877e-08,0.4280459657388928
96,204,-18.49477585931089,0.013945159420622747,1.6504170917188928e-12,0.09710039806883845
96,216,-18.31312229050762,0.014532161849789471,1.9842802833517405e-16,0.14998230281982183
96,228,-18.56256389343599,0.013732148389014358,1.0300465811049507e-18,0.07556373703719811
96,240,-17.880419714713092,0.016030231124038216,8.885398269436195e-23,0.2867802171194631
96,252,12.46713140676949,0.9463770083088741,1.3848272202476976e-23,7.032216744913285
96,264,39.89691702322337,0.9998976085183809,3.150143549521841e-25,6.960145278326601
96,276,-18.802906039407034,0.013002458223468507,1.3922156116633708e-12,0.00158635447702314
96,288,-18.784708821817183,0.013056340840842227,4.51500284884619e-08,0.010608651513697685
96,300,-17.443243411691498,0.017697859749673608,0.00011051567042035299,0.7562499310844485
96,312,-15.544289912233326,0.02714069994301646,1.7268776726351398e-07,2.1163401334932246
96,324,-11.313434565550558,0.06881638708081879,1.1470473641640646e-08,4.604397229207004
96,336,-16.399442359836847,0.02239843385718561,4.16706213908677e-07,1.1070569098862577
96,348,-15.549810806972008,0.027107154371637868,2.4812255018438298e-05,2.576690825119093
96,360,-16.823416792314625,0.02035756866235492,6.991601882012964e-13,0.650719030658639
96,372,-18.78770761277003,0.01304744617363085,6.528656904190054e-08,0.006387090844411412
96,384,-18.793074394937218,0.013031542768141639,7.02127714075776e-10,0.005210517316892772
96,396,-18.67912882070033,0.013373342379424554,1.4932017837952253e-10,0.03939945073348528
96,408,-18.75662465473264,0.013139931790114804,4.01849097350015e-06,0.018283678421261752
96,420,-16.849636838796712,0.020237512206356553,3.5333957303041806e-08,0.7362579864943037
96,432,-15.57555223224388,0.026951277974768047,5.440636504578307e-06,1.2674264420545016
96,444,-15.62239253686437,0.02666987089487138,2.0744987430368282e-05,1.2315423304172768
96,456,-16.74906322525061,0.02070182451557076,3.7679025794186386e-10,0.9050789484242143
120,0,-18.78405490374138,0.013058281211567623,1.8776414874879494e-25,0.007304873758141132
120,12,-18.805832838088566,0.012993812376383923,4.585032472110878e-23,0.0006992817390899415
120,24,-18.807944875004676,0.012987576883232854,3.083779134801931e-25,5.7886984558134843e-05
120,36,-18.797220334286173,0.013019270188479442,9.191421908610965e-26,0.003398696112424253
120,48,-18.807648976450974,0.012988450304358884,1.8693626534239895e-28,0.00014950167103732216
120,60,-18.760125152016553,0.01312948401765865,5.4999908840742914e-24,0.01470325520619299
120,72,-18.34385270792309,0.014431174792540663,1.1192373943549985e-23,0.14776992719651427
120,84,-18.606455693559997,0.013595941310437202,2.1899933707027825e-22,0.06341658520234374
120,96,-18.719448147014017,0.013251398212224234,6.425002383169269e-20,0.027446843525632165
120,108,-18.66050745318921,0.013430034997636902,5.768185459578214e-24,0.045853640555194204
120,120,-18.535263104264935,0.01381754731383892,2.8009224614231787e-26,0.08391826346654296
120,132,-18.622811458431563,0.013545526824476024,2.4754151156158842e-24,0.057497487596569266
120,144,-18.805778461180044,0.012993972955593862,8.118743036205284e-24,0.0007145408560797939
